site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
1197,1197,ΤΗΝΟΣ,,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 4 (4),2020-06-09,2020-06-12,2025-12-04,2025-12-05,high,canonical_high,multiple_special_numbers,0.9495252373813092,7013.0,2001,1.0,1,1,0.00066711140760507,top_10_percent
2007,2007,ΧΕΡΣΟΝΗΣΟΣ ΑΘΩΣ,,ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 165 (1) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 165 (2) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 165 (3) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 165 (4) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (1) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (2) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (3) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (4) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (5) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 166 (6),2021-09-10,2021-09-19,2024-12-08,2024-12-13,high,canonical_high,multiple_special_numbers; multiple_regions,2.6011904761904763,4700.0,1176,1.0,1,2,0.00133422281521014,top_10_percent
6165,6165,ΑΝΔΡΟΣ,,ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (1) | ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (2) | ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (3) | ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (4) | ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (5) | ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 100 (6),2025-11-16,2025-11-23,2025-12-02,2025-12-02,high,canonical_high,ok,14.555555555555555,6281.0,9,1.0,1,3,0.0020013342228152103,top_10_percent
2009,2009,ΧΕΡΣΟΝΗΣΟΣ ΑΘΩΣ,,ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (1) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (2) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (3) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (4) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (5) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (6) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 168 (7),2021-09-19,2021-09-27,2024-12-10,2024-12-12,high,canonical_high,multiple_special_numbers; multiple_regions,1.4632478632478632,3548.0,1170,0.9999999999997062,1,4,0.00266844563042028,top_10_percent
2007,2007,ΧΑΛΚΙΔΙΚΗ,,ΆΘΩΣ ΠΑΡΑΛΊΑ 215 (1) | ΆΘΩΣ ΠΑΡΑΛΊΑ 215 (2) | ΆΘΩΣ ΠΑΡΑΛΊΑ 215 (3) | ΆΘΩΣ ΠΑΡΑΛΊΑ 215 (4),2024-12-08,2024-12-13,2025-03-07,2025-03-08,high,canonical_high,multiple_special_numbers; multiple_regions,8.80952380952381,3059.0,84,0.9999999999801212,1,5,0.00333555703802535,top_10_percent
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),2021-03-04,2021-03-18,2023-08-27,2023-08-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1154708520179372,2435.0,892,0.9999999954827932,1,6,0.004002668445630421,top_10_percent
1700,1700,ΛΗΜΝΟΣ,,ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 43 (1) | ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 43 (2),2025-02-10,2025-02-11,2025-04-02,2025-04-02,high,canonical_high,ok,14.6,2029.0,50,0.9999999167626399,1,7,0.004669779853235491,top_10_percent
3406,3406,ΛΕΣΒΟΣ,,ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 45 (1) | ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 45 (2) | ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 45 (3),2022-09-14,2022-09-19,2025-05-31,2025-06-01,medium,canonical_medium,coordinate_spread_100_250m,1.0578680203045685,1966.0,985,0.999999664526368,1,8,0.00533689126084056,top_10_percent
1638,1638,Άγιος Ευστράτιος,,ΆΓΙΟΣ ΕΥΣΤΡΆΤΙΟΣ ΠΑΡΑΛΊΑ 35 (3) | ΆΓΙΟΣ ΕΥΣΤΡΆΤΙΟΣ ΠΑΡΑΛΊΑ 35 (4) | ΆΓΙΟΣ ΕΥΣΤΡΆΤΙΟΣ ΠΑΡΑΛΊΑ 35 (5),2021-01-02,2021-01-07,2021-01-20,2021-01-20,high,canonical_high,multiple_special_numbers; multiple_regions,10.0,1905.0,13,0.9999996090556861,1,9,0.00600400266844563,top_10_percent
6143,6143,ΑΝΔΡΟΣ,,ΆΝΔΡΟΣ ΠΑΡΑΛΊΑ 80 (1),2025-11-11,2025-11-11,2025-11-27,2025-11-27,high,canonical_high,ok,40.25,1543.0,16,0.9999972317002276,1,10,0.0066711140760507,top_10_percent
2009,2009,ΧΑΛΚΙΔΙΚΗ,,ΆΘΩΣ ΠΑΡΑΛΊΑ 219 (1) | ΆΘΩΣ ΠΑΡΑΛΊΑ 219 (2) | ΆΘΩΣ ΠΑΡΑΛΊΑ 219 (3),2024-12-10,2024-12-12,2025-02-28,2025-03-01,high,canonical_high,multiple_special_numbers; multiple_regions,11.17948717948718,1712.0,78,0.9999949818260235,1,11,0.00733822548365577,top_10_percent
1664,1664,ΛΗΜΝΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΡΤΖΈΦΛΟΣ,ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 2 (2),2020-12-26,2020-12-27,2021-04-02,2021-04-02,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,4.583333333333333,1250.0,96,0.9999929200412971,1,12,0.008005336891260841,top_10_percent
4787,4787,ΜΑΓΝΗΣΙΑ,,ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 122 | ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 123 | ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 124 | ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 125(1) | ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 125(2) | ΜΑΓΝΗΣΊΑ ΠΑΡΑΛΊΑ 125(3),2024-03-02,2024-03-06,2024-03-12,2024-03-13,high,canonical_high,multiple_special_numbers,91.0,1687.0,6,0.999989161666496,1,13,0.00867244829886591,top_10_percent
1586,1586,ΨΑΡΑ ,,ΨΑΡΆ ΠΑΡΑΛΊΑ 5 (1) | ΨΑΡΆ ΠΑΡΑΛΊΑ 5 (2),2020-12-09,2020-12-11,2025-09-30,2025-10-01,high,canonical_high,multiple_regions,0.4253135689851767,1555.0,1754,0.9999614350789421,1,14,0.009339559706470981,top_10_percent
2030,2030,ΧΕΡΣΟΝΗΣΟΣ ΑΘΩΣ,,ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 198 (1) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 198 (2),2021-11-19,2021-11-20,2025-02-13,2025-02-13,high,canonical_high,multiple_regions,0.3497036409822184,1457.0,1181,0.9999601589936856,1,15,0.01000667111407605,top_10_percent
1665,1665,ΛΗΜΝΟΣ,ΠΑΡΑΛΊΑ ΓΟΜΆΤΙ,ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 3 (3),2020-12-28,2020-12-31,2021-01-23,2021-01-26,high,canonical_high,ok,50.43478260869565,955.0,23,0.9999510360693691,1,16,0.01067378252168112,top_10_percent
1434,1434,ΠΕΡΙΣΤΕΡΑ,,ΠΕΡΙΣΤΈΡΑ ΠΑΡΑΛΊΑ 31 (1) | ΠΕΡΙΣΤΈΡΑ ΠΑΡΑΛΊΑ 31 (2) | ΠΕΡΙΣΤΈΡΑ ΠΑΡΑΛΊΑ 31 (3),2020-08-14,2020-08-16,2025-09-12,2025-09-12,high,canonical_high,multiple_special_numbers; multiple_regions,0.1683756071235833,1611.0,1853,0.9999085170533257,1,17,0.01134089392928619,top_10_percent
4504,4504,ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 439 (1) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 439 (2) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 439 (3) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 439 (4) | ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 440,2023-06-19,2023-06-23,2025-11-07,2025-11-07,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1486175115207373,1553.0,868,0.999903388594043,1,18,0.01200800533689126,top_10_percent
1638,1638,Άγιος Ευστράτιος,,ΆΓΙΟΣ ΕΥΣΤΡΆΤΙΟΣ ΠΑΡΑΛΊΑ 35 (1) | ΆΓΙΟΣ ΕΥΣΤΡΆΤΙΟΣ ΠΑΡΑΛΊΑ 35 (2),2020-12-24,2020-12-25,2021-01-02,2021-01-07,high,canonical_high,multiple_special_numbers; multiple_regions,238.125,860.0,8,0.9998581374714687,1,19,0.012675116744496331,top_10_percent
2025,2025,ΧΕΡΣΟΝΗΣΟΣ ΑΘΩΣ,,ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 190 (1) | ΧΕΡΣΌΝΗΣΟΣ ΆΘΩΣ ΠΑΡΑΛΊΑ 190 (2),2021-11-08,2021-11-09,2024-12-15,2024-12-15,high,canonical_high,multiple_special_numbers; multiple_regions,0.1713780918727915,1313.0,1132,0.9998364921950459,1,20,0.0133422281521014,top_10_percent
2013,2013,ΧΑΛΚΙΔΙΚΗ,,ΆΘΩΣ ΠΑΡΑΛΊΑ 220 (1) | ΆΘΩΣ ΠΑΡΑΛΊΑ 220 (2) | ΆΘΩΣ ΠΑΡΑΛΊΑ 221,2024-12-13,2024-12-14,2025-02-26,2025-02-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,7.054054054054054,1084.0,74,0.9997948208148313,1,21,0.014009339559706471,top_10_percent
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),2019-08-02,2019-08-04,2021-03-04,2021-03-18,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,4.21280276816609,945.0,578,0.9997187726454179,1,22,0.01467645096731154,top_10_percent
3422,3422,ΛΕΣΒΟΣ,,ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 76 (1),2022-09-18,2022-09-18,2022-09-27,2022-09-28,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,57.333333333333336,692.0,9,0.9997183288187921,1,23,0.015343562374916611,top_10_percent
1374,1374,ΣΚΟΠΕΛΟΣ,ΠΑΡΑΛΊΑ ΤΡΑΧΊΛΙ,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 74 (1) | ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 74 (2),2020-08-23,2020-08-24,2024-03-31,2024-03-31,high,canonical_high,multiple_special_numbers,0.2357414448669201,1140.0,1315,0.9996391780733477,1,24,0.016010673782521682,top_10_percent
1215,1215,ΤΗΝΟΣ,,ΤΉΝΟΣ ΠΑΡΑΛΊΑ 26 (1) | ΤΉΝΟΣ ΠΑΡΑΛΊΑ 26 (2),2020-06-22,2020-06-23,2020-10-05,2020-10-07,high,canonical_high,multiple_regions,10.913461538461538,690.0,104,0.9996185708821989,1,25,0.01667778519012675,top_10_percent
1598,1598,ΨΑΡΑ ,ΠΑΡΑΛΊΑ ΛΙΜΕΝΌΡΙΑ,ΨΑΡΆ ΠΑΡΑΛΊΑ 23,2020-12-14,2020-12-14,2025-08-17,2025-08-17,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1159929701230228,1260.0,1707,0.9996053109739159,1,26,0.01734489659773182,top_10_percent
5939,5939,ΛΕΣΒΟΣ,,ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 746 (1) | ΛΈΣΒΟΣ ΠΑΡΑΛΊΑ 746 (2),2025-08-18,2025-08-19,2025-09-10,2025-09-10,high,canonical_high,multiple_special_numbers,2.636363636363636,962.0,22,0.9995948386771139,1,27,0.01801200800533689,top_10_percent
6262,6262,ΕΥΒΟΙΑ,,ΕΎΒΟΙΑ ΠΑΡΑΛΊΑ 194 (1),2026-01-03,2026-01-03,2026-01-15,2026-01-15,high,canonical_high,ok,26.5,614.0,12,0.9989750465471667,1,28,0.018679119412941963,top_10_percent
346,346,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΑΝΑΛΟΎΚΑΣ,ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 265 (1) | ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 265 (2) | ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 265 (3),2019-11-19,2019-11-21,2023-02-21,2023-03-08,high,canonical_high,ok,8.047979797979798,1287.0,1188,0.9980066727196165,1,29,0.019346230820547032,top_10_percent
