index,model,selected_fraction,selected_rows_mean,selected_rows_std,precision_in_selected_mean,precision_in_selected_std,recall_of_true_top25_mean,recall_of_true_top25_std,f1_selected_mean,f1_selected_std,baseline_positive_rate_test_mean,baseline_positive_rate_test_std
0,catboost_small_regularized,0.1,37.6,0.5477225575051667,0.8621621621621621,0.0420124115570516,0.3713864033184434,0.0302815904008545,0.5186723423653345,0.0334128153752298,0.2348323806401771,0.0152988885490945
1,catboost_small_regularized,0.15,56.4,0.547722557505166,0.8510025062656641,0.0242532601910659,0.5493458251963532,0.0285192555870629,0.667161117746958,0.0206550951501176,0.2348323806401771,0.0152988885490945
2,catboost_small_regularized,0.2,75.0,1.0000000000000004,0.7840075865339023,0.0494007436338658,0.6716005509507946,0.01943160334231,0.7228416011713046,0.0261212791256095,0.2348323806401771,0.0152988885490945
3,catboost_small_regularized,0.25,93.8,1.3038404810405295,0.6951352501692296,0.0624123218424244,0.7433588580333615,0.0219904433382693,0.7178151169285693,0.0438781390407004,0.2348323806401771,0.0152988885490945
4,catboost_small_regularized,0.3,112.4,1.516575088810311,0.6207986181670393,0.0538983042796113,0.7958559490123209,0.0261801490439491,0.6969658191825374,0.0434328670138561,0.2348323806401771,0.0152988885490945
5,extra_trees_depth4_leaf5,0.1,37.6,0.5477225575051667,0.7450924608819346,0.0492004714384555,0.3204447851777354,0.0217992610014539,0.4477614366692509,0.026642742069796,0.2348323806401771,0.0152988885490945
6,extra_trees_depth4_leaf5,0.15,56.4,0.547722557505166,0.712907268170426,0.0272273569162006,0.4604596052439952,0.0316879832147602,0.5590865900863948,0.0275738407849801,0.2348323806401771,0.0152988885490945
7,extra_trees_depth4_leaf5,0.2,75.0,1.0000000000000004,0.6536766239924134,0.0395881750214721,0.5608900156479438,0.0374822072733196,0.6032111857984743,0.0333265823923481,0.2348323806401771,0.0152988885490945
8,extra_trees_depth4_leaf5,0.25,93.8,1.3038404810405295,0.5952535930856954,0.0451397280734577,0.6387754781098941,0.0516280121031511,0.6156711337721231,0.0433872076712926,0.2348323806401771,0.0152988885490945
9,extra_trees_depth4_leaf5,0.3,112.4,1.516575088810311,0.5411882747409062,0.036341045707521,0.6958799497129519,0.050008882744237,0.6083665158371041,0.0376161579574558,0.2348323806401771,0.0152988885490945
10,hist_gradient_boosting_l2,0.1,37.6,0.5477225575051667,0.8884779516358463,0.0342924202343697,0.3825040472646958,0.0257928936391092,0.5342853240413029,0.0259764307418281,0.2348323806401771,0.0152988885490945
11,hist_gradient_boosting_l2,0.15,56.4,0.547722557505166,0.843859649122807,0.037032805051004,0.544217620068148,0.020662050240164,0.6611909684932267,0.0177539821493002,0.2348323806401771,0.0152988885490945
12,hist_gradient_boosting_l2,0.2,75.0,1.0000000000000004,0.7893067804646752,0.0545519142006203,0.6757368403215717,0.0124055358473726,0.7275047581863422,0.0279890256596236,0.2348323806401771,0.0152988885490945
13,hist_gradient_boosting_l2,0.25,93.8,1.3038404810405295,0.7015873604215845,0.0665881016916312,0.7501853142401502,0.0278743740178189,0.7244355851602415,0.0481574465539352,0.2348323806401771,0.0152988885490945
14,hist_gradient_boosting_l2,0.3,112.4,1.516575088810311,0.619107735555104,0.0600953771598897,0.7934451031531992,0.0381508161841842,0.6949793914375958,0.0516165765336077,0.2348323806401771,0.0152988885490945
15,lightgbm_small_regularized,0.1,37.6,0.5477225575051667,0.8883357041251779,0.0289387169417623,0.3832574018071969,0.0381992175168384,0.5349769695605346,0.040815420011559,0.2348323806401771,0.0152988885490945
16,lightgbm_small_regularized,0.15,56.4,0.547722557505166,0.8510025062656641,0.0242532601910659,0.5493458251963532,0.0285192555870629,0.667161117746958,0.0206550951501176,0.2348323806401771,0.0152988885490945
17,lightgbm_small_regularized,0.2,75.0,1.0000000000000004,0.7839013750592698,0.0556829284493109,0.6710445765243922,0.0114346428100095,0.722479116709217,0.0283480032450679,0.2348323806401771,0.0152988885490945
18,lightgbm_small_regularized,0.25,93.8,1.3038404810405295,0.7036926235794793,0.0635001492738902,0.7525020991101267,0.0216988354950862,0.7266435073681636,0.0443703190023536,0.2348323806401771,0.0152988885490945
19,lightgbm_small_regularized,0.3,112.4,1.516575088810311,0.6226317482896431,0.0515412821887374,0.7984966799289138,0.0276766863240505,0.6991305000469087,0.0414735190729871,0.2348323806401771,0.0152988885490945
20,logistic_C0.2_l1_balanced,0.1,37.6,0.5477225575051667,0.8937411095305832,0.0318218205090982,0.3856508150296637,0.0391731436580386,0.5382974729818445,0.0423954041973562,0.2348323806401771,0.0152988885490945
21,logistic_C0.2_l1_balanced,0.15,56.4,0.547722557505166,0.8723684210526315,0.0227746334298661,0.5638063966968316,0.0422262954920885,0.6843932535497872,0.0348484830189214,0.2348323806401771,0.0152988885490945
22,logistic_C0.2_l1_balanced,0.2,75.0,1.0000000000000004,0.79200853485064,0.0436703939819954,0.6785482605798003,0.0105709357982046,0.7302671804243138,0.0166303338645062,0.2348323806401771,0.0152988885490945
23,logistic_C0.2_l1_balanced,0.25,93.8,1.3038404810405295,0.7250159544365374,0.0385350407158547,0.7771245182192613,0.0225064870557818,0.7494711462256112,0.0203292140205283,0.2348323806401771,0.0152988885490945
24,logistic_C0.2_l1_balanced,0.3,112.4,1.516575088810311,0.6458172458172459,0.0435704581738011,0.8286643417044794,0.0128501038200572,0.7253298308158989,0.030773856086461,0.2348323806401771,0.0152988885490945
25,logistic_C0.2_l2_balanced,0.1,37.6,0.5477225575051667,0.9152204836415364,0.0387066167162826,0.3945717072013163,0.0361228373834743,0.5509027888129667,0.0392619112012804,0.2348323806401771,0.0152988885490945
26,logistic_C0.2_l2_balanced,0.15,56.4,0.547722557505166,0.8723684210526315,0.0227746334298661,0.5638063966968316,0.0422262954920885,0.6843932535497872,0.0348484830189214,0.2348323806401771,0.0152988885490945
27,logistic_C0.2_l2_balanced,0.2,75.0,1.0000000000000004,0.8108544333807493,0.0344584659308469,0.6956745317858857,0.034395811439721,0.7481919777694677,0.0237226723681748,0.2348323806401771,0.0152988885490945
28,logistic_C0.2_l2_balanced,0.25,93.8,1.3038404810405295,0.7207835133475419,0.0470166282247994,0.7719201863971745,0.0138785072254238,0.7448081443533069,0.027630059248249,0.2348323806401771,0.0152988885490945
29,logistic_C0.2_l2_balanced,0.3,112.4,1.516575088810311,0.6368878276773013,0.0478204496081515,0.8168624354158578,0.0163797052698685,0.7151760255568306,0.0359502157701202,0.2348323806401771,0.0152988885490945
30,logistic_C0.75_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308676,0.0391716947782811,0.3944950788488259,0.0360152210496306,0.5508019823613539,0.0391702306837457,0.2348323806401771,0.0152988885490945
31,logistic_C0.75_l2_unweighted,0.15,56.4,0.547722557505166,0.8866541353383459,0.0404113480786782,0.5725815683158623,0.0394781876110693,0.6952784465862926,0.036351644973965,0.2348323806401771,0.0152988885490945
32,logistic_C0.75_l2_unweighted,0.2,75.0,1.0000000000000004,0.8108553816974868,0.0518055703665793,0.6948782741591071,0.0298813080744836,0.7477439354479468,0.031908373693086,0.2348323806401771,0.0152988885490945
33,logistic_C0.75_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207835133475419,0.0487521108853615,0.7718256237494204,0.0138795590023332,0.7447623843075469,0.0291367335546689,0.2348323806401771,0.0152988885490945
34,logistic_C0.75_l2_unweighted,0.3,112.4,1.516575088810311,0.6298855246223668,0.0357710453489707,0.8088214637172241,0.0205669675906082,0.7076580450852896,0.024284525195395,0.2348323806401771,0.0152988885490945
35,logistic_C1.25_l2_unweighted,0.1,37.6,0.5477225575051667,0.9150782361308676,0.0391716947782811,0.3944950788488259,0.0360152210496306,0.5508019823613539,0.0391702306837457,0.2348323806401771,0.0152988885490945
36,logistic_C1.25_l2_unweighted,0.15,56.4,0.547722557505166,0.8901002506265664,0.0423728712751345,0.57436734754845,0.0319071373716026,0.6976634670173176,0.0299786532872094,0.2348323806401771,0.0152988885490945
37,logistic_C1.25_l2_unweighted,0.2,75.0,1.0000000000000004,0.805521100047416,0.0465983625411847,0.690503423573403,0.029561621934478,0.7429370065414149,0.0284032049631369,0.2348323806401771,0.0152988885490945
38,logistic_C1.25_l2_unweighted,0.25,93.8,1.3038404810405295,0.7207148634619582,0.0497044977157158,0.7717060923126525,0.0142075314589058,0.7446688416725677,0.0300090190654174,0.2348323806401771,0.0152988885490945
39,logistic_C1.25_l2_unweighted,0.3,112.4,1.516575088810311,0.6280684820158504,0.0449353002731311,0.805820918163487,0.0199066760419218,0.7053705956925771,0.0337582261473586,0.2348323806401771,0.0152988885490945
40,logistic_C1_l2_balanced,0.1,37.6,0.5477225575051667,0.9204836415362732,0.0490506462446651,0.397230372413173,0.0433761368572069,0.5544457616447327,0.0490267122271349,0.2348323806401771,0.0152988885490945
