site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,target_top25
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),2019-08-02,2019-08-04,2021-03-04,2021-03-18,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,4.21280276816609,945.0,578,1
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),2021-03-04,2021-03-18,2023-08-27,2023-08-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.1154708520179372,2435.0,892,1
2,2,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 311,2023-08-27,2023-08-27,2024-04-10,2024-04-10,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,0.4977973568281938,103.0,227,1
3,3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 295,2023-08-25,2023-08-25,2024-04-12,2024-04-12,high,canonical_high,multiple_special_numbers; multiple_regions,0.0,0.0,231,0
6,6,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,2019-08-08,2019-08-08,2023-08-25,2023-08-25,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,221.0,1478,0
6,6,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 296,2023-08-25,2023-08-25,2024-04-12,2024-04-12,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,0.0,231,0
7,7,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 297,2023-08-25,2023-08-25,2024-04-12,2024-04-12,high,canonical_high,multiple_regions,0.0,19.0,231,0
8,8,ΔΟΚΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 7,2019-08-11,2019-08-11,2023-06-10,2023-06-10,high,canonical_high,multiple_regions,0.0307362401715511,201.0,1399,0
9,9,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),2019-08-11,2019-08-13,2020-01-26,2020-01-26,medium,canonical_medium,multiple_regions,0.2409638554216867,604.0,166,1
9,9,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,2020-01-26,2020-01-26,2023-06-09,2023-06-10,medium,canonical_medium,multiple_regions,0.1739837398373983,40.0,1230,1
9,9,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),2023-06-09,2023-06-10,2025-10-14,2025-10-14,medium,canonical_medium,multiple_regions,0.1225204200700116,214.0,857,1
10,10,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,2019-08-14,2019-08-14,2020-01-26,2020-01-26,medium,canonical_medium,multiple_regions,0.503030303030303,312.0,165,1
10,10,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 31,2020-01-26,2020-01-26,2023-06-08,2023-06-09,medium,canonical_medium,multiple_regions,0.0358014646053702,83.0,1229,0
10,10,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 127 (2),2023-06-08,2023-06-09,2025-10-14,2025-10-14,medium,canonical_medium,multiple_regions,0.0944055944055944,44.0,858,1
16,16,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 4,2019-08-30,2019-08-30,2025-11-03,2025-11-03,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,243.0,2257,0
16,16,ΜΕΘΑΝΑ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 34,2025-11-03,2025-11-03,2026-02-06,2026-02-06,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,0.0,95,0
19,19,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΜΈΘΑΝΑ ΠΑΡΑΛΊΑ 7,2019-09-04,2019-09-04,2025-11-06,2025-11-06,high,canonical_high,multiple_regions,0.0,372.0,2255,0
