Days of Operations,Special Number,Date,Beaches,Name of Beach,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,Sediment,WidthLength,Coastline of Clean Beach,Coastline cleaned,Finds/Comments,Beaches complete,Beaches check clean,Road Network,Tourist Business,source_file,source_row,Region,site_id,Month,Season,Latitude,Longitude,WindDirection,WindSpeed
1,1.0,2019-07-31,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1,,150.0,0.0,150.0,0.0,"37°39'22.1""N, 023°57'24.9""E ",North,Sand,,,148.0,IN PROGRESS,0.0,0.0,0,0,Typhoon1,2,ΠΑΤΡΟΚΛΟΣ,1,7,Summer,37.656139,23.956917,N,5.0
2,1.0,2019-08-01,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 (2),,173.0,0.0,173.0,0.0,"37°39'22.1""N, 023°57'24.9""E ",North,Sand,890.0,,148.0,,0.0,1.0,0,0,Typhoon1,3,ΠΑΤΡΟΚΛΟΣ,1,8,Summer,37.656139,23.956917,N,4.0
3,2.0,2019-08-02,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1),,700.0,0.0,700.0,0.0,"37°39'23.4""N, 023°57'03.3""E ",North,Mixed,,,30.0,IN PROGRESS,0.0,0.0,0,0,Typhoon1,4,ΠΑΤΡΟΚΛΟΣ,2,8,Summer,37.6565,23.950917,W,3.0
4,3.0,2019-08-03,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1),,183.0,0.0,183.0,0.0,"37°39'21.4""N, 023°56'47.4""E ",North,Mixed,,,31.0,IN PROGRESS,0.0,0.0,0,0,Typhoon1,5,ΠΑΤΡΟΚΛΟΣ,3,8,Summer,37.655944,23.9465,W,3.0
5,2.0,2019-08-04,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),,245.0,0.0,245.0,0.0,"37°39'23.4""N, 023°57'03.3""E ",North,Mixed,307.0,,30.0,,1.0,0.0,0,0,Typhoon1,6,ΠΑΤΡΟΚΛΟΣ,2,8,Summer,37.6565,23.950917,NE,5.0
6,3.0,2019-08-05,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2),,237.0,0.0,237.0,0.0,"37°39'21.4""N, 023°56'47.4""E ",North,Mixed,735.0,,31.0,,1.0,0.0,0,0,Typhoon1,7,ΠΑΤΡΟΚΛΟΣ,3,8,Summer,37.655944,23.9465,N,5.0
7,4.0,2019-08-06,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4,,239.0,0.0,239.0,0.0,"37°39'22.3""N, 023°56'39.3""E ",North,Sand,944.0,,61.0,,1.0,0.0,0,0,Typhoon1,8,ΠΑΤΡΟΚΛΟΣ,4,8,Summer,37.656194,23.94425,NE,6.0
8,5.0,2019-08-08,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,,221.0,0.0,221.0,0.0,"37°28'55.09""N, 23°54'37.80""E",North,Pebbles,17636.0,,833.0,,1.0,0.0,0,0,Typhoon1,9,ΠΑΤΡΟΚΛΟΣ,5,8,Summer,37.481969,23.9105,N,4.0
,,,,,,,,,,,,,,,,,,,,Typhoon1,10,ΠΑΤΡΟΚΛΟΣ,,,,,,,
,,,,,,,,,,,,,,,,,,,,Typhoon1,12,ΠΑΤΡΟΚΛΟΣ,,,,,,,
9,6.0,2019-08-11,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 7,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,201.0,0.0,201.0,0.0,"37°20'52.24""N, 23°16'33.99""E",North,Pebbles,244.0,,17.0,,1.0,0.0,0,0,Typhoon1,14,ΔΟΚΟΣ,6,8,Summer,37.347844,23.276108,N,3.0
,7.0,2019-08-11,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1),,230.0,0.0,230.0,0.0,"37°20'19.44""N, 23°17'53.74""E",North,Mixed,,,26.0,,0.0,0.0,0,0,Typhoon1,15,ΔΟΚΟΣ,7,8,Summer,37.338733,23.298261,N,3.0
10,7.0,2019-08-12,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2),,252.0,0.0,252.0,0.0,"37°20'19.44""N, 23°17'53.74""E",North,Mixed,,,26.0,,0.0,0.0,0,0,Typhoon1,16,ΔΟΚΟΣ,7,8,Summer,37.338733,23.298261,NE,4.5
11,7.0,2019-08-13,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),,122.0,0.0,122.0,0.0,"37°20'19.44""N, 23°17'53.74""E",North,Mixed,214.0,,26.0,,1.0,0.0,0,0,Typhoon1,17,ΔΟΚΟΣ,7,8,Summer,37.338733,23.298261,E,3.0
12,8.0,2019-08-14,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 2,,312.0,0.0,312.0,0.0,"37°20'18.52""N, 23°18'12.75""E",North,Pebbles,298.0,,46.0,,1.0,0.0,0,0,Typhoon1,18,ΔΟΚΟΣ,8,8,Summer,37.338478,23.303542,E,2.0
13,9.0,2019-08-16,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 3 (1),,1167.0,0.0,1167.0,0.0,"37°20'3.98""N, 23°19'55.59""E",North,Pebbles,,,23.0,,0.0,0.0,0,0,Typhoon1,19,ΔΟΚΟΣ,9,8,Summer,37.334439,23.332108,E,2.0
