site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,canonical_max_coordinate_spread_m,demographic_coordinate_source,is_strong_or_probable_match,has_all_selected_demographics,is_recommended_for_initial_model,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,repollution_positive,log1p_repollution_kg_per_day,previous_total_weight,days_between_visits,previous_visit_month,previous_visit_season,latitude,longitude,coastline_cleaned,width_length,road_network,tourist_business,orientation,sediment,wind_direction_previous,wind_speed_previous,Pct_Age_15_34,Youth_Dependency,Avg_Household_Size,Unemployment_Rate,UrbanRural_Class,Daytime_Population_Pressure
1,1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 (2),2019-07-31,2019-08-01,2021-03-05,2021-03-05,review,canonical_review,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions,675.8603659189934,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,323.0,582,7,Summer,37.656139,23.956917,296.0,890.0,0.0,0.0,North,Sand,N,5.0,0.1935322809109819,0.2203656962150093,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
1,1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 5 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 6,2021-03-05,2021-03-05,2021-03-17,2021-03-18,review,canonical_review,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions,675.8603659189934,interval_coordinate,0,1,0,720.0,60.0,1800.0,5400.0,1,4.110873864173311,0.0,12,3,Spring,37.6530975,23.9587915,,,,,East,,W,2.0,0.1920597110126743,0.21595779362144,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
1,1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (2),2021-03-17,2021-03-18,2023-08-26,2023-08-27,review,canonical_review,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions,675.8603659189934,interval_coordinate,0,1,0,994.0,1.1156004489337823,33.46801346801347,100.4040404040404,1,0.7493386724113018,720.0,891,3,Spring,37.656139,23.956917,570.0,51300.0,1.0,0.0,ΒΟΡΕΙΑ,Mixed,NW,5.0,0.1918879853593781,0.2171078870526584,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
1,1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 310 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 305 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 306 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 307 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 308 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 309 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 312,2023-08-26,2023-08-27,2023-09-02,2023-09-02,review,canonical_review,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions,675.8603659189934,interval_coordinate,0,1,0,143.0,23.833333333333332,715.0,2145.0,1,3.2121868367174042,994.0,6,8,Summer,37.65531742857143,23.957472142857146,810.0,25326.0,0.0,0.0,North,Mixed,N,5.0,0.1862602220004112,0.2118971083798138,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
1,1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛOΣ AREA A,2023-09-02,2023-09-02,2024-04-10,2024-04-10,review,canonical_review,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions,675.8603659189934,interval_coordinate,0,1,0,119.0,0.5384615384615384,16.153846153846153,48.46153846153846,1,0.4307829160924542,143.0,221,9,Fall,37.656722,23.954667,,12396.0,0.0,0.0,North,Mixed,N,5.0,0.1859672946752137,0.2141111053076988,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),2019-08-02,2019-08-04,2021-03-04,2021-03-18,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,142.12599043068622,interval_coordinate,1,1,1,2435.0,4.21280276816609,126.38408304498267,379.1522491349481,1,1.6511176704579238,945.0,578,8,Summer,37.6565,23.950917,60.0,307.0,0.0,0.0,North,Mixed,W,3.0,0.1926151083876499,0.2261211493565948,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
2,2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),2021-03-04,2021-03-18,2023-08-27,2023-08-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,142.12599043068622,interval_coordinate,1,1,1,103.0,0.1154708520179372,3.4641255605381165,10.39237668161435,1,0.10927660457858338,2435.0,892,3,Spring,37.6565415,23.9503195,390.0,17900.0,0.0,0.0,ΒΟΡΕΙΑ,Mixed,SW,2.0,0.1909241009724848,0.2235655832223279,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
2,2,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 311,2023-08-27,2023-08-27,2024-04-10,2024-04-10,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions,142.12599043068622,interval_coordinate,1,1,1,113.0,0.4977973568281938,14.933920704845814,44.801762114537446,1,0.40399560012880437,103.0,227,8,Summer,37.656667,23.951333,80.0,11425.0,0.0,0.0,North,Mixed,N,5.0,0.1854920297403356,0.2177039116672667,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
3,3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 295,2023-08-25,2023-08-25,2024-04-12,2024-04-12,high,canonical_high,multiple_special_numbers; multiple_regions,9.79428656305546,interval_coordinate,1,1,1,0.0,0.0,0.0,0.0,0,0.0,0.0,231,8,Summer,37.483111,23.90675,,,0.0,0.0,South,,NE,4.0,0.181272437655409,0.1628434258085171,2.370506321254478,9.4,Rural,0.0127601099332548
4,4,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4,2019-08-03,2019-08-06,2021-03-04,2021-03-10,review,canonical_review,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions,417.9307630232301,interval_coordinate,0,1,0,1472.0,2.5555555555555554,76.66666666666666,229.99999999999997,1,1.2685113254635072,659.0,576,8,Summer,37.656069,23.945375,123.0,1679.0,0.0,0.0,North,Mixed,W,3.0,0.1919370922515328,0.2303780524069755,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
