interval_id,site_id,Date,Latitude,Longitude,demographic_coordinate_source
0,1,2019-07-31,37.656139,23.956917,interval_coordinate
1,1,2021-03-17,37.656139,23.956917,interval_coordinate
2,1,2023-08-26,37.656389,23.956472,interval_coordinate
3,2,2019-08-02,37.6565,23.950917,interval_coordinate
4,2,2021-03-05,37.6565,23.950917,interval_coordinate
5,2,2023-08-27,37.656667,23.951333,interval_coordinate
6,3,2019-08-03,37.655944,23.9465,interval_coordinate
7,3,2021-03-04,37.655944,23.9465,interval_coordinate
8,3,2023-08-27,37.656139,23.946639,interval_coordinate
9,5,2019-08-08,37.481969,23.9105,interval_coordinate
10,5,2023-08-25,37.480083,23.914028,interval_coordinate
11,6,2019-08-11,37.347844,23.276108,interval_coordinate
12,7,2019-08-11,37.338733,23.298261,interval_coordinate
13,7,2020-01-26,37.338703,23.298328,interval_coordinate
14,7,2023-06-09,37.338778,23.298306,interval_coordinate
15,8,2019-08-14,37.338478,23.303542,interval_coordinate
16,8,2020-01-26,37.338606,23.303336,interval_coordinate
17,8,2023-06-08,37.338639,23.303333,interval_coordinate
18,16,2019-08-30,37.633028,23.339183,interval_coordinate
19,18,2019-09-03,37.630081,23.333064,interval_coordinate
20,18,2023-07-28,37.631083,23.3355,interval_coordinate
21,19,2019-09-04,37.569878,23.360492,interval_coordinate
22,20,2019-09-05,37.576344,23.359208,interval_coordinate
23,20,2025-11-06,37.575111,23.359556,interval_coordinate
24,22,2019-09-06,37.648358,23.164814,interval_coordinate
25,23,2019-09-06,37.582833,23.235325,interval_coordinate
26,24,2019-09-07,37.692478,23.162006,interval_coordinate
27,25,2019-09-07,37.696281,23.165869,interval_coordinate
28,26,2019-09-07,37.713333,23.158167,interval_coordinate
29,27,2019-09-08,37.726219,23.126111,interval_coordinate
30,33,2019-09-17,37.18315,24.445653,interval_coordinate
31,34,2019-09-17,37.204192,24.47775,interval_coordinate
32,35,2019-09-17,37.200244,24.51365,interval_coordinate
33,51,2019-09-20,36.828461,25.423733,interval_coordinate
34,52,2019-09-20,36.822533,25.435172,interval_coordinate
35,53,2019-09-20,36.853392,25.451847,interval_coordinate
36,54,2019-09-21,36.826611,25.462197,interval_coordinate
37,55,2019-09-21,36.8245,25.458586,interval_coordinate
38,56,2019-09-22,36.844869,25.522772,interval_coordinate
39,58,2019-09-22,36.855167,25.53455,interval_coordinate
40,60,2019-09-22,36.859114,25.525747,interval_coordinate
41,61,2019-09-22,36.856756,25.5238,interval_coordinate
42,62,2019-09-22,36.854275,25.522606,interval_coordinate
43,66,2019-09-23,36.885722,25.512783,interval_coordinate
44,68,2019-09-24,36.911969,25.580522,interval_coordinate
