site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,match_quality,site_review_reason
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 (2),37.656139,23.956917,2019-07-31,2019-08-01,2021-03-17,2021-03-18,594,323.0,720.0,1.2121212121212122,36.36363636363637,109.0909090909091,0.0,323.0,0.0,25.0,575.0,120.0,North,Sand,N,5.0,0,0,296.0,890.0,Typhoon1,Typhoon1,identity_review,multiple_regions
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (2),37.656139,23.956917,2021-03-17,2021-03-18,2023-08-26,2023-08-26,891,720.0,205.0,0.23007856341189675,6.902356902356902,20.70707070707071,25.0,575.0,120.0,35.0,89.0,81.0,ΒΟΡΕΙΑ,Mixed,NW,5.0,1,0,570.0,51300.0,Typhoon1,Typhoon2,identity_review,multiple_regions
1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 310,37.656389,23.956472,2023-08-26,2023-08-26,2024-04-10,2024-04-10,228,205.0,0.0,0.0,0.0,0.0,35.0,89.0,81.0,0.0,0.0,0.0,North,Mixed,N,5.0,0,0,126.0,12100.0,Typhoon2,Typhoon2,identity_review,multiple_regions
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),37.6565,23.950917,2019-08-02,2019-08-04,2021-03-05,2021-03-18,579,945.0,2115.0,3.6528497409326426,109.58549222797927,328.7564766839378,0.0,945.0,0.0,10.0,1030.0,1075.0,North,Mixed,W,3.0,0,0,60.0,307.0,Typhoon1,Typhoon1,coordinate_mismatch,coordinate_mismatch; multiple_regions
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),37.6565,23.950917,2021-03-05,2021-03-18,2023-08-27,2023-08-27,892,2115.0,103.0,0.11547085201793722,3.4641255605381165,10.39237668161435,10.0,1030.0,1075.0,7.0,73.0,23.0,ΒΟΡΕΙΑ,Mixed,W,2.0,0,0,380.0,17100.0,Typhoon1,Typhoon2,coordinate_mismatch,coordinate_mismatch; multiple_regions
2,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 311,37.656667,23.951333,2023-08-27,2023-08-27,2024-04-12,2024-04-12,229,103.0,0.0,0.0,0.0,0.0,7.0,73.0,23.0,0.0,0.0,0.0,North,Mixed,N,5.0,0,0,80.0,11425.0,Typhoon2,Typhoon2,coordinate_mismatch,coordinate_mismatch; multiple_regions
3,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2),37.655944,23.9465,2019-08-03,2019-08-05,2021-03-04,2021-03-10,577,420.0,1307.0,2.265164644714038,67.95493934142114,203.86481802426343,0.0,420.0,0.0,5.0,1072.0,230.0,North,Mixed,W,3.0,0,0,62.0,735.0,Typhoon1,Typhoon1,coordinate_mismatch,coordinate_mismatch; multiple_regions
3,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (4),37.655944,23.9465,2021-03-04,2021-03-10,2023-08-27,2023-08-27,900,1307.0,26.0,0.028888888888888888,0.8666666666666666,2.6,5.0,1072.0,230.0,0.0,22.0,4.0,ΒΟΡΕΙΑ,Mixed,SW,2.0,0,0,70.0,6300.0,Typhoon1,Typhoon2,coordinate_mismatch,coordinate_mismatch; multiple_regions
3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 313,37.656139,23.946639,2023-08-27,2023-08-27,2024-04-12,2024-04-12,229,26.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,North,Mixed,N,5.0,0,0,80.0,5185.0,Typhoon2,Typhoon2,coordinate_mismatch,coordinate_mismatch; multiple_regions
5,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,37.481969,23.9105,2019-08-08,2019-08-08,2023-08-25,2023-08-25,1478,221.0,19.0,0.012855209742895805,0.38565629228687415,1.1569688768606226,0.0,221.0,0.0,7.0,12.0,0.0,North,Pebbles,N,4.0,0,0,833.0,17636.0,Typhoon1,Typhoon2,identity_review,review_coordinates; multiple_regions
