canonical_site_id,region,beach_name,beaches,latitude,longitude,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,days_between_visits,previous_total_weight,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,previous_recycle,previous_non_recycle,previous_blue_net,next_recycle,next_non_recycle,next_blue_net,orientation,sediment,wind_direction_previous,wind_speed_previous,road_network,tourist_business,coastline_cleaned,width_length,previous_source_files,next_source_files,original_site_ids_previous,original_site_ids_next,site_confidence,match_quality,canonical_max_coordinate_spread_m,site_review_reason
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 (2),37.656139,23.956917,2019-07-31,2019-08-01,2021-03-05,2021-03-05,582,323.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0,North,Sand,N,5.0,0.0,0.0,296.0,890.0,Typhoon1,Typhoon1,1,2151 | 2152,review,canonical_review,675.8603659189934,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 5 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 6,37.6530975,23.9587915,2021-03-05,2021-03-05,2021-03-17,2021-03-18,12,0.0,720.0,60.0,1800.0,5400.0,0.0,0.0,0.0,25.0,575.0,120.0,East,,W,2.0,,,,,Typhoon1,Typhoon1,2151 | 2152,1,review,canonical_review,675.8603659189934,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (2),37.656139,23.956917,2021-03-17,2021-03-18,2023-08-26,2023-08-27,891,720.0,994.0,1.1156004489337823,33.46801346801347,100.4040404040404,25.0,575.0,120.0,299.0,334.0,361.0,ΒΟΡΕΙΑ,Mixed,NW,5.0,1.0,0.0,570.0,51300.0,Typhoon1,Typhoon2,1,1 | 7340 | 7341 | 7342 | 7343 | 7344 | 7345,review,canonical_review,675.8603659189934,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 310 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 305 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 306 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 307 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 308 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 309 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 312,37.65531742857143,23.957472142857142,2023-08-26,2023-08-27,2023-09-02,2023-09-02,6,994.0,143.0,23.833333333333332,715.0,2145.0,299.0,334.0,361.0,75.0,65.0,3.0,North,Mixed,N,5.0,0.0,0.0,810.0,25326.0,Typhoon2,Typhoon2,1 | 7340 | 7341 | 7342 | 7343 | 7344 | 7345,7358,review,canonical_review,675.8603659189934,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛOΣ AREA A,37.656722,23.954667,2023-09-02,2023-09-02,2024-04-10,2024-04-10,221,143.0,119.0,0.5384615384615384,16.153846153846153,48.46153846153846,75.0,65.0,3.0,22.0,97.0,0.0,North,Mixed,N,5.0,0.0,0.0,,12396.0,Typhoon2,Typhoon2,7358,1 | 2151 | 7343 | 7483 | 7486 | 7488,review,canonical_review,675.8603659189934,coordinate_spread_over_500m; multiple_special_numbers; multiple_regions
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),37.6565,23.950917,2019-08-02,2019-08-04,2021-03-04,2021-03-18,578,945.0,2435.0,4.21280276816609,126.38408304498269,379.1522491349481,0.0,945.0,0.0,10.0,1230.0,1195.0,North,Mixed,W,3.0,0.0,0.0,60.0,307.0,Typhoon1,Typhoon1,2,2149 | 2,medium,canonical_medium,142.12599043068622,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),37.6565415,23.9503195,2021-03-04,2021-03-18,2023-08-27,2023-08-27,892,2435.0,103.0,0.11547085201793722,3.4641255605381165,10.39237668161435,10.0,1230.0,1195.0,7.0,73.0,23.0,ΒΟΡΕΙΑ,Mixed,SW,2.0,0.0,0.0,390.0,17900.0,Typhoon1,Typhoon2,2149 | 2,2,medium,canonical_medium,142.12599043068622,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions
2,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 311,37.656667,23.951333,2023-08-27,2023-08-27,2024-04-10,2024-04-10,227,103.0,113.0,0.4977973568281938,14.933920704845814,44.801762114537446,7.0,73.0,23.0,25.0,88.0,0.0,North,Mixed,N,5.0,0.0,0.0,80.0,11425.0,Typhoon2,Typhoon2,2,2149 | 7489,medium,canonical_medium,142.12599043068622,coordinate_spread_100_250m; multiple_special_numbers; multiple_regions
3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 295,37.483111,23.90675,2023-08-25,2023-08-25,2024-04-12,2024-04-12,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,,NE,4.0,0.0,0.0,,,Typhoon2,Typhoon2,7331,2,high,canonical_high,9.79428656305546,multiple_special_numbers; multiple_regions
4,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4,37.656069,23.945375,2019-08-03,2019-08-06,2021-03-04,2021-03-10,576,659.0,1472.0,2.5555555555555554,76.66666666666666,229.99999999999997,0.0,659.0,0.0,10.0,1187.0,275.0,North,Mixed,W,3.0,0.0,0.0,123.0,1679.0,Typhoon1,Typhoon1,3 | 4,3 | 2147,review,canonical_review,417.9307630232301,coordinate_spread_250_500m; multiple_special_numbers; multiple_regions
