site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,match_quality,site_review_reason,demographic_coordinate_source,is_strong_or_probable_match,has_all_selected_demographics,is_recommended_for_initial_model,next_total_weight,repollution_kg_per_day,repollution_kg_per_30_days,repollution_kg_per_90_days,repollution_positive,log1p_repollution_kg_per_day,previous_total_weight,days_between_visits,previous_visit_month,previous_visit_season,latitude,longitude,coastline_cleaned,width_length,road_network,tourist_business,orientation,sediment,wind_speed_previous,Pct_Age_15_34,Youth_Dependency,Avg_Household_Size,Unemployment_Rate,UrbanRural_Class,Daytime_Population_Pressure
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 1 (2),2019-07-31,2019-08-01,2021-03-17,2021-03-18,identity_review,multiple_regions,interval_coordinate,0,1,0,720.0,1.2121212121212122,36.36363636363637,109.0909090909091,1,0.7939518796819109,323.0,594,7,Summer,37.656139,23.956917,296.0,890.0,0.0,0.0,North,Sand,5.0,0.1935322809109819,0.2203656962150093,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
1,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 7 (2),2021-03-17,2021-03-18,2023-08-26,2023-08-26,identity_review,multiple_regions,interval_coordinate,0,1,0,205.0,0.2300785634118967,6.902356902356902,20.70707070707071,1,0.2070780400371515,720.0,891,3,Spring,37.656139,23.956917,570.0,51300.0,1.0,0.0,ΒΟΡΕΙΑ,Mixed,5.0,0.1918879853593781,0.2171078870526584,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
1,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 310,2023-08-26,2023-08-26,2024-04-10,2024-04-10,identity_review,multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,205.0,228,8,Summer,37.656389,23.956472,126.0,12100.0,0.0,0.0,North,Mixed,5.0,0.186152177164547,0.2127137076034418,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2),2019-08-02,2019-08-04,2021-03-05,2021-03-18,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,2115.0,3.6528497409326426,109.58549222797927,328.7564766839378,1,1.5374798793973141,945.0,579,8,Summer,37.6565,23.950917,60.0,307.0,0.0,0.0,North,Mixed,3.0,0.1926151083876499,0.2261211493565948,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
2,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (4) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (5) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (6) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 4 (7),2021-03-05,2021-03-18,2023-08-27,2023-08-27,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,103.0,0.1154708520179372,3.4641255605381165,10.39237668161435,1,0.10927660457858338,2115.0,892,3,Spring,37.6565,23.950917,380.0,17100.0,0.0,0.0,ΒΟΡΕΙΑ,Mixed,2.0,0.1910344453670932,0.2228260994920127,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
2,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 311,2023-08-27,2023-08-27,2024-04-12,2024-04-12,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,103.0,229,8,Summer,37.656667,23.951333,80.0,11425.0,0.0,0.0,North,Mixed,5.0,0.1854920297403356,0.2177039116672667,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
3,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 3 (2),2019-08-03,2019-08-05,2021-03-04,2021-03-10,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,1307.0,2.265164644714038,67.95493934142114,203.86481802426343,1,1.1833101886282087,420.0,577,8,Summer,37.655944,23.9465,62.0,735.0,0.0,0.0,North,Mixed,3.0,0.1920124566199642,0.229904748630476,2.370506321254478,16.9,Town_Suburb,0.0173765628311082
3,ΠΑΤΡΟΚΛΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (1) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (2) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (3) | ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 2 (4),2021-03-04,2021-03-10,2023-08-27,2023-08-27,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,26.0,0.0288888888888888,0.8666666666666666,2.6,1,0.02847947132186855,1307.0,900,3,Spring,37.655944,23.9465,70.0,6300.0,0.0,0.0,ΒΟΡΕΙΑ,Mixed,2.0,0.1904754825689696,0.2265723800395505,2.370506321254478,11.9,Town_Suburb,0.0160358768770809
3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΠΆΤΡΟΚΛΟΣ ΠΑΡΑΛΊΑ 313,2023-08-27,2023-08-27,2024-04-12,2024-04-12,coordinate_mismatch,coordinate_mismatch; multiple_regions,interval_coordinate,0,1,0,0.0,0.0,0.0,0.0,0,0.0,26.0,229,8,Summer,37.656139,23.946639,80.0,5185.0,0.0,0.0,North,Mixed,5.0,0.1849710801797272,0.2216429381501787,2.370506321254478,9.4,Town_Suburb,0.0127601099332548
5,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,2019-08-08,2019-08-08,2023-08-25,2023-08-25,identity_review,review_coordinates; multiple_regions,interval_coordinate,0,1,0,19.0,0.0128552097428958,0.3856562922868741,1.1569688768606226,1,0.012773282911481268,221.0,1478,8,Summer,37.481969,23.9105,833.0,17636.0,0.0,0.0,North,Pebbles,4.0,0.1897407699109679,0.1681727618573095,2.370506321254478,16.9,Rural,0.0173765628311082
