site_id,visit_count,interval_count,first_visit_date,last_visit_date,max_coordinate_distance_m,region_count,beach_name_count,regions_seen,beach_names_seen,source_files_seen,coordinate_quality,match_quality,review_reason
1,4,3,2019-07-31,2024-04-10,79.38540876444914,3,0,ΠΑΤΡΟΚΛΟΣ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΠΑΤΡΟΚΛΟΣ-ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
2,4,3,2019-08-02,2024-04-12,19692.54669049663,3,0,ΠΑΤΡΟΚΛΟΣ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΠΑΤΡΟΚΛΟΣ-ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,Typhoon1 | Typhoon2,coordinate_mismatch,coordinate_mismatch,coordinate_mismatch; multiple_regions
3,4,3,2019-08-03,2024-04-12,19155.04735534707,3,0,ΠΑΤΡΟΚΛΟΣ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΠΑΤΡΟΚΛΟΣ-ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,Typhoon1 | Typhoon2,coordinate_mismatch,coordinate_mismatch,coordinate_mismatch; multiple_regions
4,1,0,2019-08-06,2019-08-06,0.0,1,0,ΠΑΤΡΟΚΛΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
5,3,2,2019-08-08,2024-04-12,375.35661187249525,3,0,ΠΑΤΡΟΚΛΟΣ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΠΑΤΡΟΚΛΟΣ-ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,,Typhoon1 | Typhoon2,review_coordinates,identity_review,review_coordinates; multiple_regions
6,2,1,2019-08-11,2023-06-10,1.908824572619595,2,1,ΔΟΚΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΖΆΚΙ,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
7,4,3,2019-08-11,2025-10-14,11.461604510543157,4,0,ΔΟΚΟΣ | ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΔΟΚΟΣ -ΥΔΡΑ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
8,4,3,2019-08-14,2025-10-14,27.49193403572984,4,0,ΔΟΚΟΣ | ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ | ΑΡΓΟΣΑΡΩΝΙΚΟΣ | ΔΟΚΟΣ -ΥΔΡΑ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
9,1,0,2019-08-16,2019-08-16,0.0,1,0,ΔΟΚΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
10,1,0,2019-08-18,2019-08-18,0.0,1,0,ΔΟΚΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
11,1,0,2019-08-19,2019-08-19,0.0,1,0,ΔΟΚΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
12,1,0,2019-08-21,2019-08-21,0.0,1,0,ΔΟΚΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
13,1,0,2019-08-22,2019-08-22,0.0,1,1,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΔΑΡΔΕΖΆ,Typhoon1,strong,single_visit_only,single_visit_only
14,1,0,2019-08-23,2019-08-23,0.0,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
15,1,0,2019-08-24,2019-08-24,0.0,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
16,2,1,2019-08-30,2025-11-03,14.230073072392521,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΜΕΘΑΝΑ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
17,1,0,2019-08-31,2019-08-31,0.0,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
18,3,2,2019-09-03,2025-11-04,241.72838764344033,3,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ | ΜΕΘΑΝΑ,,Typhoon1 | Typhoon2,probable,identity_review,probable; multiple_regions
19,2,1,2019-09-04,2025-11-06,36.98581757769998,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΜΕΘΑΝΑ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
20,3,2,2019-09-05,2026-02-04,219.30401132835948,3,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΜΕΘΑΝΑ | ΜΕΘΑΝΑ 2026,,Typhoon1 | Typhoon2,probable,identity_review,probable; multiple_regions
21,1,0,2019-09-05,2019-09-05,0.0,1,1,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΜΎΛΟΣ,Typhoon1,strong,single_visit_only,single_visit_only
22,2,1,2019-09-06,2023-08-05,7.448689666243039,2,2,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΟΚΟΎΠΙ | ΠΑΡΑΛΊΑ ΣΑΡΑΝΤΑΚΟΎΠΙ,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions; multiple_beach_names
23,2,1,2019-09-06,2023-08-02,34.545100235133376,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
24,2,1,2019-09-07,2023-08-06,43.2191305784761,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
25,2,1,2019-09-07,2023-08-06,9.06797096576077,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
26,2,1,2019-09-07,2023-08-06,9.595805339054285,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
27,2,1,2019-09-08,2023-08-07,30.84334950694839,2,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ | ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1 | Typhoon2,strong,identity_review,multiple_regions
28,1,0,2019-09-11,2019-09-11,0.0,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
29,1,0,2019-09-16,2019-09-16,0.0,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΑΥΛΩΝΊΤΙΚΟ,Typhoon1,strong,single_visit_only,single_visit_only
30,1,0,2019-09-16,2019-09-16,0.0,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΌ ΑΜΠΈΛΙ,Typhoon1,strong,single_visit_only,single_visit_only
31,1,0,2019-09-16,2019-09-16,0.0,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,Typhoon1,strong,single_visit_only,single_visit_only
32,1,0,2019-09-16,2019-09-16,0.0,1,0,ΣΕΡΙΦΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
33,2,1,2019-09-17,2024-04-25,20.992484887362128,1,0,ΣΕΡΙΦΟΣ,,Typhoon1 | Typhoon2,strong,strong,ok
34,2,1,2019-09-17,2024-04-24,11.461882089522641,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,Typhoon1 | Typhoon2,strong,strong,ok
35,2,1,2019-09-17,2024-04-24,5.121014531881944,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΌ,Typhoon1 | Typhoon2,strong,strong,ok
36,1,0,2019-09-17,2019-09-17,0.0,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΠΛΑΤΎΣ ΓΥΑΛΌΣ,Typhoon1,strong,single_visit_only,single_visit_only
37,1,0,2019-09-17,2019-09-17,0.0,1,1,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΚΑΡΑΒΆΣ,Typhoon1,strong,single_visit_only,single_visit_only
38,1,0,2019-09-18,2019-09-18,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΡΈΜΑ,Typhoon1,strong,single_visit_only,single_visit_only
39,1,0,2019-09-18,2019-09-18,0.0,1,0,ΚΙΜΩΛΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
40,1,0,2019-09-18,2019-09-18,0.0,1,0,ΚΙΜΩΛΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
41,1,0,2019-09-18,2019-09-18,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΓΚΊΩΝΗ,Typhoon1,strong,single_visit_only,single_visit_only
42,1,0,2019-09-18,2019-09-18,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙΑ,Typhoon1,strong,single_visit_only,single_visit_only
43,1,0,2019-09-18,2019-09-18,0.0,1,0,ΚΙΜΩΛΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
44,1,0,2019-09-18,2019-09-18,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΣΟΎΦΙ,Typhoon1,strong,single_visit_only,single_visit_only
45,1,0,2019-09-19,2019-09-19,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΔΈΚΑΣ,Typhoon1,strong,single_visit_only,single_visit_only
46,1,0,2019-09-19,2019-09-19,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΜΑΥΡΟΣΠΗΛΙΆ,Typhoon1,strong,single_visit_only,single_visit_only
47,1,0,2019-09-19,2019-09-19,0.0,1,1,ΚΙΜΩΛΟΣ,ΠΑΡΑΛΊΑ ΑΘΗΝΊΑ,Typhoon1,strong,single_visit_only,single_visit_only
48,1,0,2019-09-19,2019-09-19,0.0,1,0,ΚΙΜΩΛΟΣ,,Typhoon1,strong,single_visit_only,single_visit_only
49,1,0,2019-09-20,2019-09-20,0.0,1,0,ΗΡΑΚΛΕΙΑ,,Typhoon1,strong,single_visit_only,single_visit_only
50,1,0,2019-09-20,2019-09-20,0.0,1,0,ΗΡΑΚΛΕΙΑ,,Typhoon1,strong,single_visit_only,single_visit_only
51,2,1,2019-09-20,2024-05-24,7.514115065052304,1,1,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΑΛΙΜΙΆΣ,Typhoon1 | Typhoon2,strong,strong,ok
52,2,1,2019-09-20,2024-05-24,5.45806551096121,1,1,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΚΑΡΒΟΥΝΌΛΑΚΟΣ,Typhoon1 | Typhoon2,strong,strong,ok
53,2,1,2019-09-20,2024-05-26,18.601238136680198,1,1,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΉ,Typhoon1 | Typhoon2,strong,strong,ok
54,2,1,2019-09-21,2024-05-24,14.293973260269157,1,0,ΗΡΑΚΛΕΙΑ,,Typhoon1 | Typhoon2,strong,strong,ok
