site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,match_quality,site_review_reason,scope,split_id,actual_repollution_kg_per_day,predicted_repollution_kg_per_day_extra_trees,actual_positive_repollution
34,ΣΕΡΙΦΟΣ,ΠΑΡΑΛΊΑ ΣΚΆΛΑ,ΣΈΡΙΦΟΣ ΠΑΡΑΛΊΑ 6,2019-09-17,2024-04-24,strong,ok,strict,1,0.1201665675193337,0.18674574190217574,1
52,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΚΑΡΒΟΥΝΌΛΑΚΟΣ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 4,2019-09-20,2024-05-24,strong,ok,strict,1,0.0,0.046228932002872494,0
53,ΗΡΑΚΛΕΙΑ,ΠΑΡΑΛΊΑ ΒΟΡΕΙΝΉ,ΗΡΑΚΛΕΙΆ ΠΑΡΑΛΊΑ 5,2019-09-20,2024-05-26,strong,ok,strict,1,0.1596491228070175,0.14140898101376992,1
87,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 1,2019-09-30,2024-06-03,strong,ok,strict,1,0.0,0.024106725943409037,0
90,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΜΟΥΡΌΣ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 4,2019-09-30,2024-06-03,strong,ok,strict,1,0.0,0.1028829831265854,0
107,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΕΡΆΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 2,2019-10-11,2023-04-03,strong,ok,strict,1,0.0566929133858267,0.07466580187251268,1
163,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΣΕΝΤΌΝΙ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 58,2019-10-26,2023-02-15,strong,ok,strict,1,0.0,0.024718521156691077,0
207,ΚΡΗΤΗ,,ΧΑΝΊΑ ΠΑΡΑΛΊΑ 102,2019-10-30,2023-02-14,strong,ok,strict,1,0.0,0.02689014940190821,0
319,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΒΆΓΚΕΣ,ΧΡΥΣΉ ΠΑΡΑΛΊΑ 214,2019-11-11,2023-02-09,strong,ok,strict,1,0.0,0.08143487333105381,0
375,ΚΡΗΤΗ,,ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 270,2019-11-21,2023-03-08,strong,ok,strict,1,0.0399002493765586,0.04024705489978424,1
