site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,site_confidence,match_quality,site_review_reason,split_id,model,actual_repollution_kg_per_day,actual_top25,predicted_top25_score
3,3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 295,2023-08-25,2024-04-12,high,canonical_high,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0,0,0.2586535789890193
6,6,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,2019-08-08,2023-08-25,medium,canonical_medium,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0,0,0.390551265032312
6,6,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 296,2023-08-25,2024-04-12,medium,canonical_medium,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0,0,0.2586535789890193
9,9,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),2019-08-11,2020-01-26,medium,canonical_medium,multiple_regions,1,logistic_C1_unweighted,0.2409638554216867,1,0.9896986999670556
9,9,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,2020-01-26,2023-06-09,medium,canonical_medium,multiple_regions,1,logistic_C1_unweighted,0.1739837398373983,1,0.22333751812679675
9,9,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),2023-06-09,2025-10-14,medium,canonical_medium,multiple_regions,1,logistic_C1_unweighted,0.1225204200700116,1,0.31431354492066993
23,23,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,2019-09-06,2023-08-02,high,canonical_high,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0610098176718092,0,0.5261293724878024
24,24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,2019-09-07,2023-08-06,high,canonical_high,multiple_regions,1,logistic_C1_unweighted,0.0146955913226032,0,0.10969892926182476
79,79,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 1,2019-09-30,2024-06-03,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.006639588475087449
89,89,ΣΙΚΙΝΟΣ,ΠΑΡΑΛΊΑ ΜΆΛΤΑ,ΣΊΚΙΝΟΣ ΠΑΡΑΛΊΑ 1,2019-10-02,2024-05-14,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0658362989323843,0,0.05054950676548883
92,92,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΙ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 2,2019-10-03,2024-05-13,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0362232779097387,0,0.05303135807494767
93,93,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΝΙΚΌΛΑΟΣ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 3,2019-10-03,2024-05-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.034013812415778076
95,95,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΚΆΤΕΡΓΟ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 7,2019-10-03,2024-05-13,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.013217063531593434
97,97,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΕΡΆΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 2,2019-10-11,2023-04-03,high,canonical_high,ok,1,logistic_C1_unweighted,0.0566929133858267,0,0.03308850671724274
98,98,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΛΥΒΙΑΝΉ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 3,2019-10-12,2023-04-16,high,canonical_high,ok,1,logistic_C1_unweighted,0.0686427457098284,0,0.10066075585217238
126,126,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 31,2019-10-19,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.032061928581438824
132,132,ΚΡΗΤΗ,,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 37,2019-10-19,2023-02-16,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.09375,1,0.04263566566943892
135,135,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΡΙΌΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 41,2019-10-20,2023-02-16,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.05043551511792408
155,155,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΛΌΓΕΡΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 61,2019-10-27,2023-02-15,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.06534183146679653
160,160,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΠΑΎΛΟΣ,ΧΑΝΙΆ ΠΑΡΑΛΊΑ 66,2019-10-27,2023-02-13,high,canonical_high,ok,1,logistic_C1_unweighted,0.4589211618257261,1,0.7628636097063838
183,183,ΚΡΗΤΗ,,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 89,2019-10-29,2023-04-21,high,canonical_high,ok,1,logistic_C1_unweighted,0.0393700787401574,0,0.03271533611987576
193,193,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΒΙΓΛΙΣΤΉΡΙ,ΧΑΝΊΑ ΠΑΡΑΛΊΑ 99,2019-10-30,2023-02-14,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.016439014469235336
237,237,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΌΚΚΙΝΕΣ ΠΛΆΚΕΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 142,2019-11-04,2023-02-11,high,canonical_high,ok,1,logistic_C1_unweighted,0.0,0,0.021087854298707354
239,239,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΛΑΤΕΊΑ ΠΕΡΆΜΑΤΑ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 144,2019-11-04,2023-02-11,high,canonical_high,ok,1,logistic_C1_unweighted,0.0,0,0.03577662883135826
241,241,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΆΓΙΟΣ ΟΝΟΎΦΡΙΟΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 146,2019-11-04,2023-02-11,high,canonical_high,ok,1,logistic_C1_unweighted,0.0,0,0.02672263523725236
246,246,ΝΟΤΙΑ ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΚΑΝΤΟΎΝΙ,ΜΕΣΣΗΝΊΑ ΠΑΡΑΛΊΑ 11,2019-12-21,2023-05-07,medium,canonical_medium,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0,0,0.3032592258739705
246,246,ΠΕΛΟΠΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΚΟΥΤΣΟΎΝΙ,ΜΕΣΣΗΝΊΑ ΠΑΡΑΛΊΑ 168,2023-05-07,2024-06-30,medium,canonical_medium,multiple_special_numbers; multiple_regions,1,logistic_C1_unweighted,0.0,0,0.29795912695124277
252,252,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΛΕΠΡΙΆΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 158,2019-11-05,2023-02-11,high,canonical_high,multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.040358110607827874
255,255,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΣΑΛΑΜΙΆΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 161,2019-11-05,2023-02-11,medium,canonical_medium,coordinate_spread_100_250m,1,logistic_C1_unweighted,0.0,0,0.029529232174376478
257,257,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΕΛΥΓΙΆΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 164,2019-11-05,2023-02-10,high,canonical_high,ok,1,logistic_C1_unweighted,0.0,0,0.08780073465918938
277,277,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΣΑΡΑΚΗΝΌΣ,ΗΡΆΚΛΕΙΟ ΠΑΡΑΛΊΑ 187,2019-11-07,2023-02-10,medium,canonical_medium,coordinate_spread_100_250m,1,logistic_C1_unweighted,0.0,0,0.018238519210477026
298,298,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΧΑΤΖΗΒΌΛΑΚΑΣ,ΧΡΥΣΉ ΠΑΡΑΛΊΑ 208,2019-11-11,2023-02-18,medium,canonical_medium,coordinate_spread_100_250m,1,logistic_C1_unweighted,0.3573221757322176,1,0.4033923815648277
302,302,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΒΟΥΓΙΟΎ ΜΆΤΙ | ΠΑΡΑΛΊΑ ΦΡΆΓΚΟΥ ΜΝΉΜΑ,ΧΡΥΣΉ ΠΑΡΑΛΊΑ 212 | ΧΡΥΣΉ ΠΑΡΑΛΊΑ 213,2019-11-11,2023-02-09,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.26095323448068014
316,316,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΗΓΆΔΙ,ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 228,2019-11-13,2023-02-03,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,1,logistic_C1_unweighted,0.0,0,0.1190343448248171
318,318,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΚΑΡΑΜΈΛΕΣ,ΛΑΣΊΘΙ ΠΑΡΑΛΊΑ 230,2019-11-13,2023-02-03,high,canonical_high,ok,1,logistic_C1_unweighted,0.0,0,0.15611054660532528
