model,split_id,selected_fraction,selected_rows,precision_in_selected,recall_of_true_top25,f1_selected,baseline_positive_rate_test
logistic_C1_unweighted,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C1_unweighted,1,0.15,57,0.9122807017543859,0.5777777777777777,0.7074829931972789,0.23872679045092837
logistic_C1_unweighted,1,0.2,76,0.7763157894736842,0.6555555555555556,0.7108433734939759,0.23872679045092837
logistic_C1_unweighted,1,0.25,95,0.7157894736842105,0.7555555555555555,0.7351351351351352,0.23872679045092837
logistic_C1_unweighted,1,0.3,114,0.6228070175438597,0.7888888888888889,0.696078431372549,0.23872679045092837
logistic_C1_unweighted,2,0.1,37,0.972972972972973,0.4044943820224719,0.5714285714285714,0.2418478260869565
logistic_C1_unweighted,2,0.15,56,0.9464285714285714,0.5955056179775281,0.7310344827586207,0.2418478260869565
logistic_C1_unweighted,2,0.2,74,0.8513513513513513,0.7078651685393258,0.7730061349693251,0.2418478260869565
logistic_C1_unweighted,2,0.25,92,0.75,0.7752808988764045,0.7624309392265194,0.2418478260869565
logistic_C1_unweighted,2,0.3,111,0.6396396396396397,0.797752808988764,0.71,0.2418478260869565
logistic_C1_unweighted,3,0.1,38,0.868421052631579,0.35106382978723405,0.5,0.2493368700265252
logistic_C1_unweighted,3,0.15,57,0.8421052631578947,0.5106382978723404,0.6357615894039735,0.2493368700265252
logistic_C1_unweighted,3,0.2,76,0.8552631578947368,0.6914893617021277,0.7647058823529411,0.2493368700265252
logistic_C1_unweighted,3,0.25,95,0.7578947368421053,0.7659574468085106,0.7619047619047619,0.2493368700265252
logistic_C1_unweighted,3,0.3,114,0.6666666666666666,0.8085106382978723,0.7307692307692307,0.2493368700265252
logistic_C1_unweighted,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C1_unweighted,4,0.15,56,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.20911528150134048
logistic_C1_unweighted,4,0.2,75,0.7466666666666667,0.717948717948718,0.7320261437908496,0.20911528150134048
logistic_C1_unweighted,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C1_unweighted,4,0.3,112,0.5625,0.8076923076923077,0.6631578947368421,0.20911528150134048
logistic_C1_unweighted,5,0.1,37,0.8918918918918919,0.3793103448275862,0.532258064516129,0.23513513513513515
logistic_C1_unweighted,5,0.15,56,0.8928571428571429,0.5747126436781609,0.6993006993006993,0.23513513513513515
logistic_C1_unweighted,5,0.2,74,0.8378378378378378,0.7126436781609196,0.7701863354037267,0.23513513513513515
logistic_C1_unweighted,5,0.25,93,0.7419354838709677,0.7931034482758621,0.7666666666666667,0.23513513513513515
logistic_C1_unweighted,5,0.3,111,0.6576576576576577,0.8390804597701149,0.7373737373737373,0.23513513513513515
