model,C,class_weight,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_at_0_5_mean,f1_at_0_5_std,precision_at_0_5_mean,precision_at_0_5_std,recall_at_0_5_mean,recall_at_0_5_std,balanced_accuracy_at_0_5_mean,balanced_accuracy_at_0_5_std
logistic_C1_unweighted,1.0,None,0.8095627737092543,0.018036358731979396,0.8885889377846793,0.023521978692657076,0.7422704929479123,0.021216427924625275,0.861967704403957,0.029362880938830035,0.6534222790956533,0.039951331724193496,0.8106038554418185,0.016991837319367455
logistic_C0.75_unweighted,0.75,None,0.809122864902031,0.018565558189518917,0.8888033176973981,0.024002808193457195,0.7371610268743105,0.022679706458649238,0.8680730180324876,0.025149859515581987,0.6420817845856797,0.04068112342999746,0.8059699972275945,0.01779740472662642
logistic_C1_balanced,1.0,balanced,0.809010711384522,0.013839495391991469,0.8881192143092319,0.022134723721895653,0.7248511614272695,0.023206326262635375,0.672791186234714,0.03483379990051805,0.7870366539821724,0.028000061513197165,0.8346770402078884,0.011280592618059518
logistic_C0.75_balanced,0.75,balanced,0.8089391027569697,0.013689747783886161,0.8882196310652908,0.02186263902079937,0.7256494071579535,0.02055367352625957,0.6743362536661506,0.03457737760856798,0.7870366539821724,0.028000061513197165,0.8350161644726344,0.009196169593584602
logistic_C1.25_unweighted,1.25,None,0.8088617664702905,0.01816886199029003,0.88829629008374,0.023489682069084382,0.7463687701250784,0.023642583379123366,0.8650799764617771,0.02871360074913422,0.6577971296813573,0.03998024148869586,0.8131446376251297,0.01766446182205148
logistic_C1.5_unweighted,1.5,None,0.8088127967774202,0.018043824590123946,0.8882668980074795,0.023333551290976032,0.7479526164712007,0.019415749947296914,0.8608661711298918,0.027176336996546455,0.6625834544676821,0.03599051583402895,0.814820954140156,0.015538543971705286
logistic_C1.5_balanced,1.5,balanced,0.8084035032932506,0.014847596869929366,0.8870280608354854,0.02232581294763516,0.7229282400066076,0.017010191445964218,0.6688515367561015,0.02465658933857824,0.7874481281827931,0.02542936145435884,0.8338036674131187,0.011069062783029077
logistic_C0.5_unweighted,0.5,None,0.8083876842378214,0.017747042169355645,0.8885227318525935,0.023781522949802323,0.7322475403452335,0.023550787329887933,0.8735526324775817,0.03374430359797724,0.6331162673443004,0.04911582719965365,0.8021646628301825,0.019823584318403923
logistic_C1.25_balanced,1.25,balanced,0.8082883125369719,0.01473847775593321,0.8875136496487596,0.02237197893422998,0.7228963250937321,0.016508293889750246,0.6686497487826532,0.022948022137965703,0.7874730969718069,0.02383694140997827,0.8338210766423358,0.01043008554766329
logistic_C2_unweighted,2.0,None,0.8082076508454532,0.017853761972168418,0.8878000187102693,0.023567113870838083,0.7433605279365334,0.022524491184906095,0.8529713273195549,0.040971094552804704,0.6604557948932139,0.036523378171240455,0.8127401752003796,0.016034060856732327
logistic_C2_balanced,2.0,balanced,0.8081118096555931,0.01427926001881721,0.8865251999994074,0.02263068742921146,0.7266600955794503,0.01572154470468466,0.6734844524372138,0.024918095905630305,0.7900122307468956,0.025395479248538147,0.8361508554151568,0.011127474900901433
logistic_C0.5_balanced,0.5,balanced,0.8075062214992043,0.013659863549910455,0.8882785732600464,0.022526402536000786,0.7317856303350306,0.0261011201588635,0.6847604247884721,0.04165220017927233,0.7870795570664498,0.018100326482439116,0.8378840522405671,0.009256080578607764
logistic_C3_unweighted,3.0,None,0.8069612490404211,0.018671001832766487,0.8871492431053924,0.023938474994483427,0.7439934393289385,0.022690391593810165,0.8509709190729741,0.04108687050533995,0.66270298590445,0.037054796099291056,0.8135053477669294,0.016172435141334568
logistic_C3_balanced,3.0,balanced,0.8066629104054828,0.015108337800958712,0.8854230187420555,0.02307436553659758,0.725810306826322,0.017027599574772692,0.6723482804005207,0.030781705914327877,0.7900122307468956,0.025395479248538147,0.8358263874178198,0.00978368048261368
logistic_C0.3_unweighted,0.3,None,0.8061808411690536,0.017245192165735997,0.8879659563092431,0.024763379497669172,0.7297966636304463,0.02660587023462693,0.8751778695745169,0.030502799820747075,0.6285951945473655,0.05056347124666892,0.8002574833221745,0.02108296154108844
logistic_C0.3_balanced,0.3,balanced,0.8057257119299072,0.013360903212914348,0.8881473927702667,0.02273311765869891,0.7370694126424407,0.024899765821128673,0.6924330319207138,0.04164988109861103,0.7893784076411625,0.021324267339765467,0.8407767215635037,0.009151269777607877
logistic_C5_unweighted,5.0,None,0.8051554753617424,0.019224910623326975,0.8861977848315176,0.024399252618940177,0.7441881119793081,0.027654264890298326,0.8441230733674244,0.041400326553096105,0.6671294960536307,0.04029486271495421,0.8146778308444638,0.018772618640192612
logistic_C5_balanced,5.0,balanced,0.8047250378464726,0.015639389092023004,0.8842109528648949,0.023871776338985542,0.7260964376623043,0.01717406547279645,0.6714586722560878,0.03176563544813544,0.7921398903213637,0.027675997315953767,0.8365612250375254,0.008599649170719769
logistic_C0.2_unweighted,0.2,None,0.8038244345253484,0.018424722733368096,0.8870271165978092,0.025666429737566804,0.7187018419851012,0.03180960685785106,0.8693256362968379,0.023626207170692467,0.6151787000264004,0.05443207502099734,0.7932008040059428,0.023887855976850166
logistic_C0.2_balanced,0.2,balanced,0.8034439657447473,0.016568797416168356,0.887510777543298,0.023227247900424276,0.7417492956508402,0.025423882008896222,0.7008338121087642,0.042020661101863394,0.789455035993653,0.02714009524347974,0.8429309353401105,0.011232039073069813
logistic_C0.15_balanced,0.15,balanced,0.8031781628195415,0.016949010017959436,0.8870296074827652,0.023725316582567837,0.7441697069879882,0.02437236893202456,0.7050961352299361,0.040450105844482116,0.789455035993653,0.02714009524347974,0.8439717073371666,0.01104278453694436
logistic_C0.15_unweighted,0.15,None,0.8010567336620678,0.01849349588753568,0.8858494849630365,0.025649089392424603,0.7130777227551421,0.03543302903366525,0.8700024926473185,0.022065812467954398,0.6064968707282835,0.0557176202876355,0.7892132462473438,0.025599645266725493
logistic_C0.1_balanced,0.1,balanced,0.7982662625296332,0.01918692857009074,0.8848883509596692,0.02471164718365986,0.746469852272669,0.022412096381170706,0.7130711528483312,0.041203579802107725,0.784933963196718,0.026122513222266632,0.8438077718647387,0.009597274685164081
logistic_C0.1_unweighted,0.1,None,0.7973414640571397,0.020896761662863982,0.8839945111034538,0.026258462510740415,0.6854901902007805,0.04781496377077677,0.8717478795302,0.023158369607890222,0.5674070964542248,0.06470730529735239,0.7706952991461757,0.03091939935543914
