model,C,class_weight,split_id,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5,balanced_accuracy_at_0_5
logistic_C0.05_balanced,0.05,balanced,1,0.7784599916391802,0.8801393728222996,0.7045454545454546,0.7209302325581395,0.6888888888888889,0.802632597754549
logistic_C0.05_balanced,0.05,balanced,2,0.8149596342037616,0.8604969594458539,0.7865168539325843,0.7865168539325843,0.7865168539325843,0.8592082477548226
logistic_C0.05_balanced,0.05,balanced,3,0.761258063514395,0.8788436959627096,0.7425742574257426,0.6944444444444444,0.7978723404255319,0.8406322832869708
logistic_C0.05_balanced,0.05,balanced,4,0.7720849644904422,0.8602346805736637,0.718562874251497,0.6741573033707865,0.7692307692307693,0.8354628422425032
logistic_C0.05_balanced,0.05,balanced,5,0.8151369334039347,0.9228301043824377,0.7659574468085106,0.7128712871287128,0.8275862068965517,0.8625563543316681
logistic_C0.05_unweighted,0.05,None,1,0.7711181579415647,0.8794812233836623,0.5942028985507246,0.8541666666666666,0.45555555555555555,0.7155826558265582
logistic_C0.05_unweighted,0.05,None,2,0.8118561028281249,0.8585638919093068,0.72,0.8852459016393442,0.6067415730337079,0.7908259836494704
logistic_C0.05_unweighted,0.05,None,3,0.7555032275119798,0.8738440718742952,0.6405228758169934,0.8305084745762712,0.5212765957446809,0.7429704533493722
logistic_C0.05_unweighted,0.05,None,4,0.7648775919314049,0.8596697088222512,0.6666666666666666,0.875,0.5384615384615384,0.7590612777053455
logistic_C0.05_unweighted,0.05,None,5,0.8188753005412669,0.9254295113927136,0.6986301369863014,0.864406779661017,0.5862068965517241,0.7789691726574874
logistic_C0.1_balanced,0.1,balanced,1,0.7887773169742582,0.8847077042198994,0.7472527472527473,0.7391304347826086,0.7555555555555555,0.8359659310878823
logistic_C0.1_balanced,0.1,balanced,2,0.8149505541201177,0.8604566872055092,0.770949720670391,0.7666666666666667,0.7752808988764045,0.8500060408360517
logistic_C0.1_balanced,0.1,balanced,3,0.7799844137156945,0.8885422148710623,0.7487684729064039,0.6972477064220184,0.8085106382978723,0.8459514322231411
logistic_C0.1_balanced,0.1,balanced,4,0.784988435706075,0.8669708822251195,0.7100591715976331,0.6593406593406593,0.7692307692307693,0.8320730117340287
logistic_C0.1_balanced,0.1,balanced,5,0.8226305921320204,0.9237642662767555,0.7553191489361702,0.7029702970297029,0.8160919540229885,0.8550424434425896
logistic_C0.1_unweighted,0.1,None,1,0.7843151369936258,0.8848625629113435,0.6187050359712231,0.8775510204081632,0.4777777777777778,0.728435927216415
logistic_C0.1_unweighted,0.1,None,2,0.8146828225266118,0.8588055253513752,0.72,0.8852459016393442,0.6067415730337079,0.7908259836494704
logistic_C0.1_unweighted,0.1,None,3,0.7783753493055285,0.8832042703556124,0.6535947712418301,0.847457627118644,0.5319148936170213,0.7500563867378393
logistic_C0.1_unweighted,0.1,None,4,0.7845517124028248,0.8664928292046937,0.703125,0.9,0.5769230769230769,0.779986962190352
logistic_C0.1_unweighted,0.1,None,5,0.8247822990571076,0.9266073676942447,0.7320261437908496,0.8484848484848485,0.6436781609195402,0.8041712359368018
logistic_C0.15_balanced,0.15,balanced,1,0.7954631099607341,0.8862175764614789,0.75,0.7340425531914894,0.7666666666666667,0.8397793263646922
logistic_C0.15_balanced,0.15,balanced,2,0.8171322112800605,0.860939954089646,0.7624309392265194,0.75,0.7752808988764045,0.8464218114453708
logistic_C0.15_balanced,0.15,balanced,3,0.7888937387063836,0.8945568002405834,0.7487684729064039,0.6972477064220184,0.8085106382978723,0.8459514322231411
logistic_C0.15_balanced,0.15,balanced,4,0.7890566077169809,0.8709691438504998,0.7017543859649122,0.6451612903225806,0.7692307692307693,0.8286831812255542
logistic_C0.15_balanced,0.15,balanced,5,0.825345146433548,0.9224645627716177,0.7578947368421053,0.6990291262135923,0.8275862068965517,0.8590227854270744
logistic_C0.15_unweighted,0.15,None,1,0.7888099484685637,0.8871467286101432,0.6713286713286714,0.9056603773584906,0.5333333333333333,0.7579558652729385
logistic_C0.15_unweighted,0.15,None,2,0.8168059690763612,0.8594901534372357,0.7402597402597403,0.8769230769230769,0.6404494382022472,0.8058878015383996
logistic_C0.15_unweighted,0.15,None,3,0.7867355771524931,0.886813021577325,0.6794871794871795,0.8548387096774194,0.5638297872340425,0.7660138335463499
logistic_C0.15_unweighted,0.15,None,4,0.7876725018609891,0.8692307692307691,0.725925925925926,0.8596491228070176,0.6282051282051282,0.8005432420686658
logistic_C0.15_unweighted,0.15,None,5,0.8252596717519318,0.9265667519597092,0.7483870967741936,0.8529411764705882,0.6666666666666666,0.8156654888103652
logistic_C0.2_balanced,0.2,balanced,1,0.7962720363883322,0.8855594270228417,0.745945945945946,0.7263157894736842,0.7666666666666667,0.8380371660859466
logistic_C0.2_balanced,0.2,balanced,2,0.8175262147610983,0.8605775039265434,0.7624309392265194,0.75,0.7752808988764045,0.8464218114453708
logistic_C0.2_balanced,0.2,balanced,3,0.7900602762179159,0.898240733779415,0.7487684729064039,0.6972477064220184,0.8085106382978723,0.8459514322231411
logistic_C0.2_balanced,0.2,balanced,4,0.7886767833276404,0.8726205997392438,0.6976744186046512,0.6382978723404256,0.7692307692307693,0.8269882659713168
logistic_C0.2_balanced,0.2,balanced,5,0.82468451802875,0.9205556232484464,0.7539267015706806,0.6923076923076923,0.8275862068965517,0.8572560009747776
logistic_C0.2_unweighted,0.2,None,1,0.792385286477554,0.8880758807588075,0.6713286713286714,0.9056603773584906,0.5333333333333333,0.7579558652729385
logistic_C0.2_unweighted,0.2,None,2,0.81695939022348,0.8588055253513753,0.7402597402597403,0.8769230769230769,0.6404494382022472,0.8058878015383996
logistic_C0.2_unweighted,0.2,None,3,0.7907552490713572,0.8900834523720019,0.7044025157232704,0.8615384615384616,0.5957446808510638,0.7819712803548605
logistic_C0.2_unweighted,0.2,None,4,0.789274770097195,0.8713602781399391,0.725925925925926,0.8596491228070176,0.6282051282051282,0.8005432420686658
logistic_C0.2_unweighted,0.2,None,5,0.8297474767571552,0.9268104463669226,0.7515923566878981,0.8428571428571429,0.6781609195402298,0.8196458307948499
logistic_C0.3_balanced,0.3,balanced,1,0.8010956798988458,0.8861788617886178,0.7526881720430108,0.7291666666666666,0.7777777777777778,0.8435927216415021
logistic_C0.3_balanced,0.3,balanced,2,0.8164111804842735,0.8599331480810277,0.7540983606557377,0.7340425531914894,0.7752808988764045,0.8428375820546897
logistic_C0.3_balanced,0.3,balanced,3,0.7957739607426035,0.9030899932335914,0.7414634146341463,0.6846846846846847,0.8085106382978723,0.8424178633185475
logistic_C0.3_balanced,0.3,balanced,4,0.7923146616301633,0.8742285962624946,0.6936416184971098,0.631578947368421,0.7692307692307693,0.8252933507170795
logistic_C0.3_balanced,0.3,balanced,5,0.82303307689365,0.9173063644856018,0.743455497382199,0.6826923076923077,0.8160919540229885,0.8497420900856991
logistic_C0.3_unweighted,0.3,None,1,0.7953346495903449,0.8885791715060007,0.6853146853146853,0.9245283018867925,0.5444444444444444,0.7652535811072396
logistic_C0.3_unweighted,0.3,None,2,0.8167753546794319,0.858241713986549,0.7483870967741936,0.8787878787878788,0.651685393258427,0.8115057790664895
logistic_C0.3_unweighted,0.3,None,3,0.7949939653993194,0.8943312532892264,0.7283950617283951,0.8676470588235294,0.6276595744680851,0.7979287271633712
logistic_C0.3_unweighted,0.3,None,4,0.7922897053360763,0.8741416775315081,0.7352941176470589,0.8620689655172413,0.6410256410256411,0.8069534984789222
logistic_C0.3_unweighted,0.3,None,5,0.8315105308400962,0.9245359652329314,0.7515923566878981,0.8428571428571429,0.6781609195402298,0.8196458307948499
logistic_C0.5_balanced,0.5,balanced,1,0.8030526608772006,0.8864498644986449,0.7486631016042781,0.7216494845360825,0.7777777777777778,0.8418505613627565
logistic_C0.5_balanced,0.5,balanced,2,0.8169081487857648,0.8602955982441303,0.745945945945946,0.71875,0.7752808988764045,0.8392533526640087
logistic_C0.5_balanced,0.5,balanced,3,0.8012602111900305,0.9071874295165777,0.7378640776699029,0.6785714285714286,0.8085106382978723,0.8406510788662507
