model,split_id,rows_test,positive_rate_test,top25_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5,balanced_accuracy_at_0_5
logistic_C0.2_l2_balanced,1,377,0.23872679045092837,0.081999739786625,0.7962720363883322,0.8855594270228417,0.745945945945946,0.7263157894736842,0.7666666666666667,0.8380371660859466
logistic_C1_l2_balanced,1,377,0.23872679045092837,0.081999739786625,0.8036921989882414,0.8862175764614789,0.7340425531914894,0.7040816326530612,0.7666666666666667,0.8328106852497097
logistic_C3_l2_balanced,1,377,0.23872679045092837,0.081999739786625,0.8045393366627992,0.8825009678668216,0.7329842931937173,0.693069306930693,0.7777777777777778,0.834881920247774
logistic_C0.2_l1_balanced,1,377,0.23872679045092837,0.081999739786625,0.7999793033176823,0.8977932636469221,0.7231638418079096,0.735632183908046,0.7111111111111111,0.8154858691444058
logistic_C0.75_l2_unweighted,1,377,0.23872679045092837,0.081999739786625,0.7968277144897499,0.8871854432830043,0.7114093959731543,0.8983050847457628,0.5888888888888889,0.7839914827719705
logistic_C1_l2_unweighted,1,377,0.23872679045092837,0.081999739786625,0.7995047324387062,0.8877274487030584,0.72,0.9,0.6,0.789547038327526
logistic_C1.25_l2_unweighted,1,377,0.23872679045092837,0.081999739786625,0.798121728828016,0.8868370112272551,0.72,0.9,0.6,0.789547038327526
random_forest_depth4_leaf5,1,377,0.23872679045092837,0.081999739786625,0.7017947584695304,0.8656600851722802,0.6893203883495146,0.6120689655172413,0.7888888888888889,0.8160472319008905
extra_trees_depth4_leaf5,1,377,0.23872679045092837,0.081999739786625,0.5688226523206149,0.7895663956639567,0.5714285714285714,0.5132743362831859,0.6444444444444445,0.7264034068912117
hist_gradient_boosting_l2,1,377,0.23872679045092837,0.081999739786625,0.776286735704343,0.8800619434765777,0.725,0.8285714285714286,0.6444444444444445,0.8013162988772745
xgboost_small_regularized,1,377,0.23872679045092837,0.081999739786625,0.777318700117028,0.8892760356174989,0.7361963190184049,0.821917808219178,0.6666666666666666,0.81068524970964
lightgbm_small_regularized,1,377,0.23872679045092837,0.081999739786625,0.7779325482304822,0.8879790940766551,0.725,0.8285714285714286,0.6444444444444445,0.8013162988772745
catboost_small_regularized,1,377,0.23872679045092837,0.081999739786625,0.7829329878833531,0.8970770421989934,0.6933333333333334,0.8666666666666667,0.5777777777777777,0.7749516066589237
logistic_C0.2_l2_balanced,2,368,0.2418478260869565,0.0816462571597866,0.8175262147610983,0.8605775039265434,0.7624309392265194,0.75,0.7752808988764045,0.8464218114453708
logistic_C1_l2_balanced,2,368,0.2418478260869565,0.0816462571597866,0.8182553779411788,0.8606580484072329,0.7272727272727273,0.6938775510204082,0.7640449438202247,0.8282590310498973
logistic_C3_l2_balanced,2,368,0.2418478260869565,0.0816462571597866,0.8126775695843282,0.8568724578148282,0.7243243243243244,0.6979166666666666,0.7528089887640449,0.824433168217148
logistic_C0.2_l1_balanced,2,368,0.2418478260869565,0.0816462571597866,0.811702558555625,0.8599331480810277,0.7582417582417582,0.7419354838709677,0.7752808988764045,0.8446296967500302
logistic_C0.75_l2_unweighted,2,368,0.2418478260869565,0.0816462571597866,0.8191439532403008,0.8581611695058596,0.7532467532467533,0.8923076923076924,0.651685393258427,0.81329789376183
logistic_C1_l2_unweighted,2,368,0.2418478260869565,0.0816462571597866,0.8187397925001247,0.8581208972655149,0.7483870967741936,0.8787878787878788,0.651685393258427,0.8115057790664895
logistic_C1.25_l2_unweighted,2,368,0.2418478260869565,0.0816462571597866,0.8189651232505821,0.8581611695058595,0.7564102564102564,0.8805970149253731,0.6629213483146067,0.8171237565945793
random_forest_depth4_leaf5,2,368,0.2418478260869565,0.0816462571597866,0.7480976301373339,0.8808747130602874,0.7014218009478673,0.6065573770491803,0.8314606741573034,0.8297088317023076
extra_trees_depth4_leaf5,2,368,0.2418478260869565,0.0816462571597866,0.6505706640711868,0.8297692400628247,0.6589595375722543,0.6785714285714286,0.6404494382022472,0.7718376223269301
hist_gradient_boosting_l2,2,368,0.2418478260869565,0.0816462571597866,0.7991807285629685,0.8809955297813217,0.7619047619047619,0.810126582278481,0.7191011235955056,0.8326688413676453
xgboost_small_regularized,2,368,0.2418478260869565,0.0816462571597866,0.7962770026747596,0.8804115822963231,0.7636363636363637,0.8289473684210527,0.7078651685393258,0.8306350932302364
lightgbm_small_regularized,2,368,0.2418478260869565,0.0816462571597866,0.795774378942435,0.8776327977125367,0.7544910179640718,0.8076923076923077,0.7078651685393258,0.8270508638395554
catboost_small_regularized,2,368,0.2418478260869565,0.0816462571597866,0.8110480831940807,0.8845193508114856,0.7530864197530864,0.8356164383561644,0.6853932584269663,0.8211912528693972
logistic_C0.2_l2_balanced,3,377,0.2493368700265252,0.08086093914398546,0.7900602762179159,0.898240733779415,0.7487684729064039,0.6972477064220184,0.8085106382978723,0.8459514322231411
logistic_C1_l2_balanced,3,377,0.2493368700265252,0.08086093914398546,0.8067662917000041,0.9094804901887077,0.7298578199052133,0.6581196581196581,0.8191489361702128,0.8389030899932336
logistic_C3_l2_balanced,3,377,0.2493368700265252,0.08086093914398546,0.8115706820236812,0.9121118712878731,0.7238095238095238,0.6551724137931034,0.8085106382978723,0.8335839410570633
logistic_C0.2_l1_balanced,3,377,0.2493368700265252,0.08086093914398546,0.7826101111494331,0.8929027892639652,0.7562189054726368,0.7102803738317757,0.8085106382978723,0.8494850011277347
logistic_C0.75_l2_unweighted,3,377,0.2493368700265252,0.08086093914398546,0.8042236072354673,0.9032403578678295,0.7239263803680982,0.855072463768116,0.6276595744680851,0.7961619427110743
logistic_C1_l2_unweighted,3,377,0.2493368700265252,0.08086093914398546,0.8053102769007756,0.9047064130516502,0.7393939393939394,0.8591549295774648,0.648936170212766,0.8068002405834147
logistic_C1.25_l2_unweighted,3,377,0.2493368700265252,0.08086093914398546,0.8064318218832941,0.9061724682354709,0.7469879518072289,0.8611111111111112,0.6595744680851063,0.812119389519585
random_forest_depth4_leaf5,3,377,0.2493368700265252,0.08086093914398546,0.7309132452428907,0.894368844447786,0.6909090909090909,0.6031746031746031,0.8085106382978723,0.8159160965340951
extra_trees_depth4_leaf5,3,377,0.2493368700265252,0.08086093914398546,0.6208628233736736,0.8310653334335764,0.6020408163265306,0.5784313725490197,0.6276595744680851,0.7378580557852793
hist_gradient_boosting_l2,3,377,0.2493368700265252,0.08086093914398546,0.8148973952557972,0.9190286444628224,0.7486033519553073,0.788235294117647,0.7127659574468085,0.8245808585820615
xgboost_small_regularized,3,377,0.2493368700265252,0.08086093914398546,0.8199825080824577,0.9248552740395459,0.7613636363636364,0.8170731707317073,0.7127659574468085,0.8298812119389519
lightgbm_small_regularized,3,377,0.2493368700265252,0.08086093914398546,0.8135597919849559,0.9206262687016014,0.7471264367816092,0.8125,0.6914893617021277,0.8192429140666115
catboost_small_regularized,3,377,0.2493368700265252,0.08086093914398546,0.792925127505098,0.9075445455228931,0.7100591715976331,0.8,0.6382978723404256,0.7926471693857604
logistic_C0.2_l2_balanced,4,373,0.20911528150134048,0.08965532467628037,0.7886767833276404,0.8726205997392438,0.6976744186046512,0.6382978723404256,0.7692307692307693,0.8269882659713168
logistic_C1_l2_balanced,4,373,0.20911528150134048,0.08965532467628037,0.7901986927947348,0.8732290308561496,0.6857142857142857,0.6185567010309279,0.7692307692307693,0.8219035202086049
logistic_C3_l2_balanced,4,373,0.20911528150134048,0.08965532467628037,0.7821442668219777,0.8707518470230335,0.7005649717514124,0.6262626262626263,0.7948717948717948,0.8347240330291177
logistic_C0.2_l1_balanced,4,373,0.20911528150134048,0.08965532467628037,0.7898247011734982,0.8795740982181659,0.7251461988304093,0.6666666666666666,0.7948717948717948,0.8448935245545415
logistic_C0.75_l2_unweighted,4,373,0.20911528150134048,0.08965532467628037,0.7894996574237537,0.8754019991308126,0.7299270072992701,0.847457627118644,0.6410256410256411,0.805258583224685
logistic_C1_l2_unweighted,4,373,0.20911528150134048,0.08965532467628037,0.7888422102149864,0.8748804867448935,0.7285714285714285,0.8225806451612904,0.6538461538461539,0.8082790091264668
logistic_C1.25_l2_unweighted,4,373,0.20911528150134048,0.08965532467628037,0.7870241867130686,0.8741416775315082,0.7285714285714285,0.8225806451612904,0.6538461538461539,0.8082790091264668
random_forest_depth4_leaf5,4,373,0.20911528150134048,0.08965532467628037,0.6627913192664341,0.8516514558887441,0.5979381443298969,0.5,0.7435897435897436,0.7734897870491091
extra_trees_depth4_leaf5,4,373,0.20911528150134048,0.08965532467628037,0.5870654910451648,0.8184267709691438,0.6162790697674418,0.5638297872340425,0.6794871794871795,0.7702520643198609
hist_gradient_boosting_l2,4,373,0.20911528150134048,0.08965532467628037,0.75294527624301,0.873859191655802,0.6842105263157895,0.7027027027027027,0.6666666666666666,0.796045197740113
xgboost_small_regularized,4,373,0.20911528150134048,0.08965532467628037,0.7515572091288244,0.8690569317687962,0.6754966887417219,0.6986301369863014,0.6538461538461539,0.7896349413298566
lightgbm_small_regularized,4,373,0.20911528150134048,0.08965532467628037,0.76047062680638,0.8690352020860497,0.6754966887417219,0.6986301369863014,0.6538461538461539,0.7896349413298566
catboost_small_regularized,4,373,0.20911528150134048,0.08965532467628037,0.7545169798113571,0.8666232073011734,0.6906474820143885,0.7868852459016393,0.6153846153846154,0.785658409387223
logistic_C0.2_l2_balanced,5,370,0.23513513513513515,0.083669936526255,0.82468451802875,0.9205556232484464,0.7539267015706806,0.6923076923076923,0.8275862068965517,0.8572560009747776
logistic_C1_l2_balanced,5,370,0.23513513513513515,0.083669936526255,0.8261409954984502,0.91101092563259,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C3_l2_balanced,5,370,0.23513513513513515,0.083669936526255,0.8223826969346274,0.9048779497177206,0.7473684210526316,0.6893203883495146,0.8160919540229885,0.851508874537996
logistic_C0.2_l1_balanced,5,370,0.23513513513513515,0.083669936526255,0.81265662676646,0.9197433085577352,0.7526881720430108,0.7070707070707071,0.8045977011494253,0.8510621014581049
logistic_C0.75_l2_unweighted,5,370,0.23513513513513515,0.083669936526255,0.835919392120884,0.9200276186994841,0.7672955974842768,0.8472222222222222,0.7011494252873564,0.8311400836684131
logistic_C1_l2_unweighted,5,370,0.23513513513513515,0.083669936526255,0.8354168564916786,0.9175094431582795,0.775,0.8493150684931506,0.7126436781609196,0.8368872101051947
logistic_C1.25_l2_unweighted,5,370,0.23513513513513515,0.083669936526255,0.8337659716764918,0.916169123918606,0.779874213836478,0.8611111111111112,0.7126436781609196,0.8386539945574916
random_forest_depth4_leaf5,5,370,0.23513513513513515,0.083669936526255,0.7297151723469131,0.8848543925916901,0.6893203883495146,0.5966386554621849,0.8160919540229885,0.8232403233012469
extra_trees_depth4_leaf5,5,370,0.23513513513513515,0.083669936526255,0.7123703962343879,0.8643637545185004,0.6594594594594595,0.6224489795918368,0.7011494252873564,0.7852036879086959
hist_gradient_boosting_l2,5,370,0.23513513513513515,0.083669936526255,0.7792404369084523,0.8990089760773324,0.7283950617283951,0.7866666666666666,0.6781609195402298,0.8108119085333658
xgboost_small_regularized,5,370,0.23513513513513515,0.083669936526255,0.7788860779538799,0.8949677104910442,0.6993865030674846,0.75,0.6551724137931034,0.7940173023029121
lightgbm_small_regularized,5,370,0.23513513513513515,0.083669936526255,0.7841629398364631,0.8930587709678728,0.7044025157232704,0.7777777777777778,0.6436781609195402,0.7935705292230211
catboost_small_regularized,5,370,0.23513513513513515,0.083669936526255,0.797880070195033,0.9080865927460299,0.7125,0.7808219178082192,0.6551724137931034,0.7993176556598026
