model,split_id,selected_fraction,selected_rows,precision_in_selected,recall_of_true_top25,f1_selected,baseline_positive_rate_test
logistic_C0.2_l2_balanced,1,0.1,38,0.8947368421052632,0.37777777777777777,0.53125,0.23872679045092837
logistic_C0.2_l2_balanced,1,0.15,57,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.23872679045092837
logistic_C0.2_l2_balanced,1,0.2,76,0.7763157894736842,0.6555555555555556,0.7108433734939759,0.23872679045092837
logistic_C0.2_l2_balanced,1,0.25,95,0.7263157894736842,0.7666666666666667,0.745945945945946,0.23872679045092837
logistic_C0.2_l2_balanced,1,0.3,114,0.6491228070175439,0.8222222222222222,0.7254901960784313,0.23872679045092837
logistic_C1_l2_balanced,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C1_l2_balanced,1,0.15,57,0.9122807017543859,0.5777777777777777,0.7074829931972789,0.23872679045092837
logistic_C1_l2_balanced,1,0.2,76,0.7894736842105263,0.6666666666666666,0.7228915662650602,0.23872679045092837
logistic_C1_l2_balanced,1,0.25,95,0.7263157894736842,0.7666666666666667,0.745945945945946,0.23872679045092837
logistic_C1_l2_balanced,1,0.3,114,0.631578947368421,0.8,0.7058823529411765,0.23872679045092837
logistic_C3_l2_balanced,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C3_l2_balanced,1,0.15,57,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.23872679045092837
logistic_C3_l2_balanced,1,0.2,76,0.8026315789473685,0.6777777777777778,0.7349397590361446,0.23872679045092837
logistic_C3_l2_balanced,1,0.25,95,0.7263157894736842,0.7666666666666667,0.745945945945946,0.23872679045092837
logistic_C3_l2_balanced,1,0.3,114,0.6403508771929824,0.8111111111111111,0.7156862745098039,0.23872679045092837
logistic_C0.2_l1_balanced,1,0.1,38,0.8947368421052632,0.37777777777777777,0.53125,0.23872679045092837
logistic_C0.2_l1_balanced,1,0.15,57,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.23872679045092837
logistic_C0.2_l1_balanced,1,0.2,76,0.7894736842105263,0.6666666666666666,0.7228915662650602,0.23872679045092837
logistic_C0.2_l1_balanced,1,0.25,95,0.7052631578947368,0.7444444444444445,0.7243243243243244,0.23872679045092837
logistic_C0.2_l1_balanced,1,0.3,114,0.6491228070175439,0.8222222222222222,0.7254901960784313,0.23872679045092837
logistic_C0.75_l2_unweighted,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C0.75_l2_unweighted,1,0.15,57,0.8947368421052632,0.5666666666666667,0.6938775510204082,0.23872679045092837
logistic_C0.75_l2_unweighted,1,0.2,76,0.7631578947368421,0.6444444444444445,0.6987951807228916,0.23872679045092837
logistic_C0.75_l2_unweighted,1,0.25,95,0.7157894736842105,0.7555555555555555,0.7351351351351352,0.23872679045092837
logistic_C0.75_l2_unweighted,1,0.3,114,0.6228070175438597,0.7888888888888889,0.696078431372549,0.23872679045092837
logistic_C1_l2_unweighted,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C1_l2_unweighted,1,0.15,57,0.9122807017543859,0.5777777777777777,0.7074829931972789,0.23872679045092837
logistic_C1_l2_unweighted,1,0.2,76,0.7763157894736842,0.6555555555555556,0.7108433734939759,0.23872679045092837
logistic_C1_l2_unweighted,1,0.25,95,0.7157894736842105,0.7555555555555555,0.7351351351351352,0.23872679045092837
logistic_C1_l2_unweighted,1,0.3,114,0.6228070175438597,0.7888888888888889,0.696078431372549,0.23872679045092837
logistic_C1.25_l2_unweighted,1,0.1,38,0.9210526315789473,0.3888888888888889,0.546875,0.23872679045092837
logistic_C1.25_l2_unweighted,1,0.15,57,0.9122807017543859,0.5777777777777777,0.7074829931972789,0.23872679045092837
logistic_C1.25_l2_unweighted,1,0.2,76,0.7631578947368421,0.6444444444444445,0.6987951807228916,0.23872679045092837
logistic_C1.25_l2_unweighted,1,0.25,95,0.7157894736842105,0.7555555555555555,0.7351351351351352,0.23872679045092837
logistic_C1.25_l2_unweighted,1,0.3,114,0.6228070175438597,0.7888888888888889,0.696078431372549,0.23872679045092837
random_forest_depth4_leaf5,1,0.1,38,0.8421052631578947,0.35555555555555557,0.5,0.23872679045092837
random_forest_depth4_leaf5,1,0.15,57,0.7543859649122807,0.4777777777777778,0.5850340136054422,0.23872679045092837
random_forest_depth4_leaf5,1,0.2,76,0.6842105263157895,0.5777777777777777,0.6265060240963856,0.23872679045092837
random_forest_depth4_leaf5,1,0.25,95,0.6105263157894737,0.6444444444444445,0.6270270270270271,0.23872679045092837
random_forest_depth4_leaf5,1,0.3,114,0.6140350877192983,0.7777777777777778,0.6862745098039216,0.23872679045092837
