analysis_type,feature_set,detail,split_id,n_features,features,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
baseline,full_features,,1,21,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7952816713749165,0.8984901277584204,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.8401084010840109
baseline,full_features,,2,21,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8105026397035427,0.8619467600982642,0.7120418848167539,0.6666666666666666,0.7640449438202247,0.8210905722685353
baseline,full_features,,3,21,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8012225494899796,0.9066987444553041,0.7414634146341463,0.6846846846846847,0.8085106382978723,0.8424178633185475
baseline,full_features,,4,21,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7862763971236271,0.8798348544111256,0.6702702702702703,0.5794392523364486,0.7948717948717948,0.8211647109952194
baseline,full_features,,5,21,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8117505725925884,0.9127574022176191,0.7604166666666666,0.6952380952380952,0.8390804597701149,0.8630031274115593
leave_one_out,minus_previous_visit_month,previous_visit_month,1,20,"previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7924228309890815,0.9006194347657763,0.7379679144385026,0.711340206185567,0.7666666666666667,0.8345528455284553
leave_one_out,minus_previous_visit_month,previous_visit_month,2,20,"previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8107806250915414,0.8613024042527485,0.6907216494845361,0.638095238095238,0.7528089887640449,0.8083041359590835
leave_one_out,minus_previous_visit_month,previous_visit_month,3,20,"previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8069387153283069,0.908766258176077,0.7389162561576355,0.6880733944954128,0.7978723404255319,0.8388654988346741
leave_one_out,minus_previous_visit_month,previous_visit_month,4,20,"previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7847001510029361,0.8788352890047806,0.6739130434782609,0.5849056603773585,0.7948717948717948,0.8228596262494567
leave_one_out,minus_previous_visit_month,previous_visit_month,5,20,"previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8113445650285303,0.9121887819341212,0.7525773195876289,0.6822429906542056,0.8390804597701149,0.8594695585069656
