Days of Operations,Special Number,Date,Beaches,Total Weight,Recycle,Non-Recycle,Blue Net,Coordinates,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region,Duration
"[1, 2]",1,2019-07-31,Πάτροκλος Παραλία 1,323,0,323,0,"37°39'22.10""N, 023°57'24.90""E",North,N,5.0,Sand,890,296,0,0,ΠΑΤΡΟΚΛΟΣ,0.38596491228070173
"[3, 5]",2,2019-08-02,Πάτροκλος Παραλία 2 (1),945,0,945,0,"37°39'23.40""N, 023°57'03.30""E",North,W,3.0,Mixed,307,60,0,0,ΠΑΤΡΟΚΛΟΣ,0.12549019607843137
"[4, 6]",3,2019-08-03,Πάτροκλος Παραλία 3 (1),420,0,420,0,"37°39'21.40""N, 023°56'47.40""E",North,W,3.0,Mixed,735,62,0,0,ΠΑΤΡΟΚΛΟΣ,0.07125603864734299
[7],4,2019-08-06,Πάτροκλος Παραλία 4,239,0,239,0,"37°39'22.30""N, 023°56'39.30""E",North,NE,6.0,Sand,944,61,0,0,ΠΑΤΡΟΚΛΟΣ,0.043478260869565216
[8],5,2019-08-08,Άγιος Γεώργιος Παραλία 5,221,0,221,0,"37°28'55.09""N, 023°54'37.80""E",North,N,4.0,Pebbles,17636,833,0,0,ΠΑΤΡΟΚΛΟΣ,0.25
[9],6,2019-08-11,Αργολίδα Παραλία 7,201,0,201,0,"37°20'52.24""N, 023°16'33.99""E",North,N,3.0,Pebbles,244,17,0,0,ΔΟΚΟΣ,0.03571428571428571
"[9, 10, 11]",7,2019-08-11,Δοκός Παραλία 1 (1),604,0,604,0,"37°20'19.44""N, 023°17'53.74""E",North,N,3.0,Mixed,214,78,0,0,ΔΟΚΟΣ,0.21904761904761905
[12],8,2019-08-14,Δοκός Παραλία 2,312,0,312,0,"37°20'18.52""N, 023°18'12.75""E",North,E,2.0,Pebbles,298,46,0,0,ΔΟΚΟΣ,0.1
"[13, 14]",9,2019-08-16,Δοκός Παραλία 3 (1),2108,0,2108,0,"37°20'03.98""N, 023°19'55.59""E",North,E,2.0,Pebbles,139,46,0,0,ΔΟΚΟΣ,0.20833333333333331
[15],10,2019-08-18,Δοκός Παραλία 4,315,0,315,0,"37°20'04.91""N, 023°20'05.48""E",North,E,4.0,Pebbles,210,24,0,0,ΔΟΚΟΣ,0.25
"[16, 17]",11,2019-08-19,Δοκός Παραλία 5 (1),677,0,677,0,"37°20'04.94""N, 023°20'10.14""E",North,E,5.0,Pebbles,470,90,0,0,ΔΟΚΟΣ,0.625
[18],12,2019-08-21,Δοκός Παραλία 6,121,0,121,0,"37°20'45.53""N, 023°19'14.31""E",North,NE,3.0,Pebbles,312,57,0,0,ΔΟΚΟΣ,0.5
[19],13,2019-08-22,Αργολίδα Παραλία 1 ,32,0,32,0,"37°24'24.73""N, 023°16'16.42""E",South,NE,1.0,Pebbles,2088,1044,1,1,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.5
"[20, 21]",14,2019-08-23,Αργολίδα Παραλία 2 (1),614,0,614,0,"37°27'15.53""N, 023°04'27.04""E",South,NE,1.0,Pebbles,4540,1816,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.8333333333333333
"[21, 22]",15,2019-08-24,Αργολίδα Παραλία 3 (1),685,0,685,0,"37°28'13.12""N, 023°03'10.75""E",North,N,4.0,Pebbles,5936,1484,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.8333333333333333
[23],16,2019-08-30,Μέθανα Παραλία 4 ,243,0,243,0,"37°37'58.90""N, 023°20'21.06""E",North,N,3.0,Pebbles,376,188,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.5
[24],17,2019-08-31,Τροιζήνα Παραλία 5 ,190,0,190,0,"37°30'27.83""N, 023°24'31.75""E",North,N,3.0,Pebbles,1785,595,1,1,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.3333333333333333
"[26, 27]",18,2019-09-03,Μέθανα Παραλία 6 (1),590,0,590,0,"37°37'48.29""N, 023°19'59.03""E",North,Calm,0.0,Pebbles,3561,1056,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.8333333333333333
[27],19,2019-09-04,Μέθανα Παραλία 7 ,372,0,372,0,"37°34'11.56""N, 023°21'37.77""E",West,N,4.0,Pebbles,794,111,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.3333333333333333
[28],20,2019-09-05,Μέθανα Παραλία 8 ,770,0,770,0,"37°34'34.84""N, 023°21'33.15""E",West,N,3.0,Pebbles,2425,357,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.3333333333333333
[28],21,2019-09-05,Αργολίδα Παραλία 9 ,344,0,344,0,"37°34'25.41""N, 023°15'34.99""E",North,N,3.0,Pebbles,519,101,1,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.3333333333333333
[29],22,2019-09-06,Αργολίδα Παραλία 10 ,210,0,210,0,"37°38'54.09""N, 023°09'53.33""E",East,NE,2.0,Pebbles,94,33,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.14285714285714285
[29],23,2019-09-06,Αργολίδα Παραλία 11 ,217,0,217,0,"37°34'58.20""N, 023°14'07.17""E",North,NE,2.0,Pebbles,874,135,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.14285714285714285
[30],24,2019-09-07,Αργολίδα Παραλία 12 ,22,0,22,0,"37°41'32.92""N, 023°09'43.22""E",East,NE,3.0,Pebbles,84,23,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.2
[30],25,2019-09-07,Αργολίδα Παραλία 13 ,22,0,22,0,"37°41'46.61""N, 023°09'57.13""E",East,NE,3.0,Pebbles,139,28,0,0,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,0.2
