Special Number,Month,Season,Total Weight,Recycle,Non-Recycle,Blue Net,Latitude,Longitude,Orientation,WindDirection,WindSpeed,Sediment,WidthLength,Coastline cleaned,Road Network,Tourist Business,Region
1,7,Summer,323,0,323,0,37.656139,23.956917,North,N,5.0,Sand,890,296,0,0,1. ΠΑΤΡΟΚΛΟΣ
2,8,Summer,945,0,945,0,37.6565,23.950917,North,W,3.0,Mixed,307,60,0,0,1. ΠΑΤΡΟΚΛΟΣ
3,8,Summer,420,0,420,0,37.655944,23.9465,North,W,3.0,Mixed,735,62,0,0,1. ΠΑΤΡΟΚΛΟΣ
4,8,Summer,239,0,239,0,37.656194,23.94425,North,NE,6.0,Sand,944,61,0,0,1. ΠΑΤΡΟΚΛΟΣ
5,8,Summer,221,0,221,0,37.481969,23.9105,North,N,4.0,Pebbles,17636,833,0,0,1. ΠΑΤΡΟΚΛΟΣ
6,8,Summer,201,0,201,0,37.347844,23.276108,North,N,3.0,Pebbles,244,17,0,0,2. ΔΟΚΟΣ
7,8,Summer,604,0,604,0,37.338733,23.298261,North,N,3.0,Mixed,214,78,0,0,2. ΔΟΚΟΣ
8,8,Summer,312,0,312,0,37.338478,23.303542,North,E,2.0,Pebbles,298,46,0,0,2. ΔΟΚΟΣ
9,8,Summer,2108,0,2108,0,37.334439,23.332108,North,E,2.0,Pebbles,139,46,0,0,2. ΔΟΚΟΣ
10,8,Summer,315,0,315,0,37.334697,23.334856,North,E,4.0,Pebbles,210,24,0,0,2. ΔΟΚΟΣ
11,8,Summer,677,0,677,0,37.334706,23.33615,North,E,5.0,Pebbles,470,90,0,0,2. ΔΟΚΟΣ
12,8,Summer,121,0,121,0,37.345981,23.320642,North,NE,3.0,Pebbles,312,57,0,0,2. ΔΟΚΟΣ
13,8,Summer,32,0,32,0,37.406869,23.271228,South,NE,1.0,Pebbles,2088,1044,1,1,3. ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ
